SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
RHETAN,2026-09-22,17.67,18.6,34.87,18.6,-5.0,-49.33,-5.0,-22.53,"C8,C9,C10,C11,C12,C13,C14,C31,C32,C33,C34,C35,C36,C52,C53,C54,C55,C56,C73,C74,C75,C76,C91,C92,C93,C94,C98,C99,C116,C117,C132,C133,C134,C135,C136,C137,C138,C139,C143,C144,C145,C146,C147,C148,C166,C167,C168,C169,C170,C171,C172,C173,C174,C178,C179,C180,C181,C182,C187,C188,C189,C190,C191,C192,C200,C201,C202,C203,C204,C205,C211,C214,C215,C216,C217,C218,C227,C228,C229,C230,C234,C235,C251,C252,C253,C254,C255,C256,C257,C258,C261,C262,C263,C264,C265,C266,C267,C268,C269,C273,C274,C275,C276,C277,C278,C295,C296,C297,C298,C299,C300,C301,C302,C303,C304,C305,C308,C309,C310,C311,C312,C313,C314,C315,C316,C318,C319,C320,C321,C322,C323,C338,C339,C340,C341,C342,C343,C344,C345,C346,C347,C348,C351,C352,C353,C354,C355,C356,C357,C358,C359,C363,C364,C365,C366,C367,C368,C386,C387,C388,C389,C390,C391,C392,C393,C394,C395,C396,C397,C398,C402,C403,C404,C405,C406,C407,C408,C409,C410,C414,C415,C416,C417,C418,C419,C439,C440,C441,C442,C443,C444,C445,C446,C447,C448,C449,C450,C454,C455,C456,C457,C458,C459,C463,C464,C465,C466,C467,C468,C483,C484,C485,C486,C487,C488,C489,C490,C491,C492,C493,C496,C497,C498,C499,C500,C501,C502,C503,C504,C507,C508,C509,C510,C525,C526,C527,C528,C529,C530,C531,C532,C533,C534,C537,C538,C539,C540,C541,C542,C543,C544,C545,C548,C549,C550,C551,C568,C569,C570,C571,C572,C573,C576,C577,C578,C579,C580,C581,C582,C583,C584,C587,C588,C589,C590,C591,C612,C613,C614,C615,C616,C617,C618,C619,C620,C621,C622,C623,C627,C628,C629,C630,C631,C632,C633,C634,C635,C637,C638,C639,C661,C662,C663,C664,C665,C666,C667,C668,C669,C670,C671,C672,C673,C677,C678,C679,C680,C681,C682,C683,C684,C685,C688,C689,C690,C691,C706,C707,C708,C709,C710,C711,C712,C713,C714,C715,C716,C720,C721,C722,C723,C724,C725,C726,C727,C730,C731,C732,C733,C734,C749,C750,C751,C752,C753,C754,C755,C756,C757,C758,C759,C762,C763,C764,C767,C768,C769,C770,C771,C789,C790,C791,C792,C793,C794,C795,C796,C797,C798,C799,C800,C801,C804,C805,C806,C807,C808,C809,C810,C811,C814,C815,C816,C817,C818,C835,C836,C837,C838,C839,C840,C841,C842,C843,C844,C845,C846,C847,C851,C852,C853,C854,C855,C856,C857,C860,C861,C862,C863,C864,C886,C887,C888,C889,C890,C891,C892,C893,C894,C895,C896,C897,C898,C900,C901,C902,C903,C904,C905,C906,C909,C910,C911,C912,C913,C930,C931,C932,C933,C934,C935,C936,C937,C938,C939,C940,C941,C942,C945,C946,C947,C948,C949,C950,C951,C952,C953,C956,C957,C958,C959,C960,C978,C979,C980,C981,C982,C983,C984,C985,C986,C987,C988,C989,C990,C993,C994,C995,C996,C997,C998,C999,C1000,C1001,C1004,C1005,C1006,C1007,C1008,C1028,C1029,C1030,C1031,C1032,C1033,C1034,C1035,C1038,C1039,C1040,C1041,C1042,C1043,C1044,C1045,C1046,C1049,C1050,C1051,C1052,C1053,C1076,C1077,C1078,C1079,C1080,C1081,C1082,C1083,C1084,C1085,C1086,C1087,C1088,C1089,C1094,C1095,C1096,C1097,C1098,C1099,C1100,C1101,C1102,C1103,C1104,C1105,C1106,C1107,C1124,C1125,C1126,C1127,C1128,C1129,C1130,C1131,C1132,C1133,C1134,C1135,C1139,C1140,C1141,C1142,C1143,C1144,C1145,C1146,C1147,C1151,C1152,C1153,C1154,C1155,C1158,C1159,C1160,C1161,C1162,C1163,C1164,C1175,C1176,C1182,C1189,C1192,C1193,C1194,C1202,C1204,C1207,C1208,C1209,C1210,C1211,C1212,C1217,C1218,C1219,C1220,C1221,C1230,C1231,C1236,C1237,C1238,C1239,C1240,C1241,C1242,C1250,C1251,C1252,C1255,C1256,C1257,C1258,C1259,C1260,C1261,C1262,C1263,C1264,C1265,C1266,C1267,C1268,C1272,C1273,C1274,C1275,C1276,C1277,C1278,C1279,C1280,C1281,C1282,C1285,C1286,C1287,C1288,C1289,C1290,C1291,C1298,C1299,C1300,C1301,C1303,C1304,C1305,C1306,C1307,C1308,C1309,C1310,C1311,C1312,C1313,C1314,C1315,C1320,C1321,C1322,C1323,C1324,C1325,C1326,C1327,C1328,C1329,C1330,C1333,C1334,C1335,C1336,C1337,C1338,C1339,C1340,C1348,C1349,C1350,C1351,C1353,C1354,C1355,C1356,C1357,C1358,C1359,C1360,C1361,C1362,C1363,C1364,C1365,C1370,C1371,C1372,C1373,C1374,C1375,C1376,C1377,C1378,C1379,C1380,C1383,C1384,C1385,C1386,C1387,C1388,C1389,C1397,C1398,C1399,C1400,C1401,C1402,C1405,C1406,C1407,C1408,C1409,C1410,C1411,C1412,C1413,C1414,C1415,C1416,C1417,C1423,C1424,C1425,C1426,C1427,C1428,C1429,C1430,C1431,C1432,C1433,C1436,C1437,C1438,C1439,C1440,C1441,C1442,C1454,C1455,C1456,C1457,C1458,C1459,C1460,C1463,C1464,C1465,C1466,C1467,C1468,C1469,C1470,C1471,C1472,C1473,C1474,C1475,C1476,C1483,C1484,C1485,C1486,C1487,C1488,C1489,C1490,C1491,C1492,C1493,C1495,C1496,C1497,C1498,C1499,C1500,C1507,C1508,C1509,C1510,C1511,C1512,C1515,C1516,C1517,C1518,C1519,C1520,C1521,C1522,C1523,C1527,C1528,C1529,C1530,C1531,C1532,C1533,C1534,C1535,C1536,C1537,C1538,C1539,C1540,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1551,C1552,C1553,C1560,C1561,C1562,C1563,C1564,C1565,C1568,C1569,C1570,C1571,C1572,C1573,C1574,C1575,C1576,C1577,C1581,C1582,C1583,C1584,C1585,C1586,C1587,C1588,C1589,C1590,C1591,C1592,C1593,C1594,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1605,C1606,C1607,C1627,C1628,C1629,C1630,C1631,C1632,C1633,C1634,C1635,C1636,C1637,C1638,C1639,C1640,C1641,C1647,C1648,C1649,C1650,C1651,C1652,C1653,C1654,C1655,C1656,C1657,C1658,C1659,C1660,C1661,C1669,C1670,C1671,C1672,C1673,C1674,C1675,C1676,C1677,C1678,C1679,C1680,C1681,C1682,C1683,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1694,C1695,C1696,C1719,C1720,C1721,C1722,C1723,C1724,C1725,C1726,C1727,C1728,C1729,C1730,C1731,C1732,C1733,C1740,C1741,C1742,C1743,C1744,C1745,C1746,C1747,C1748,C1749,C1750,C1751,C1752,C1753,C1754,C1762,C1763,C1764,C1765,C1766,C1767,C1768,C1769,C1770,C1771,C1772,C1773,C1774,C1775,C1776,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1787,C1788,C1789,C1812,C1813,C1814,C1815,C1816,C1817,C1818,C1819,C1820,C1821,C1822,C1823,C1824,C1825,C1826,C1834,C1835,C1836,C1837,C1838,C1839,C1840,C1841,C1842,C1843,C1844,C1845,C1846,C1847,C1848,C1856,C1857,C1858,C1859,C1860,C1861,C1862,C1863,C1864,C1865,C1866,C1867,C1868,C1869,C1870,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1880,C1881,C1882,C1886,C1887,C1888,C1889,C1893,C1894,C1895,C1896,C1897,C1898,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920,C1921,C1922,C1923,C1924",1071
HGM,2026-09-22,42.66,46.46,77.0,45.46,-6.16,-44.6,-8.18,-8.79,"C2,C3,C4,C6,C7,C9,C10,C12,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C32,C33,C35,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C53,C54,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C74,C75,C98,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C143,C144,C145,C146,C147,C148,C149,C150,C152,C153,C154,C155,C156,C157,C158,C159,C160,C161,C162,C163,C166,C167,C168,C169,C170,C171,C172,C173,C174,C175,C176,C178,C179,C180,C181,C182,C183,C184,C186,C187,C188,C189,C190,C191,C192,C193,C194,C195,C199,C200,C201,C202,C203,C204,C205,C206,C207,C208,C211,C212,C225,C227,C228,C229,C230,C231,C234,C235,C236,C251,C253,C254,C255,C257,C258,C259,C260,C262,C263,C265,C266,C268,C269,C270,C271,C274,C276,C278,C279,C296,C297,C298,C300,C301,C302,C304,C305,C306,C307,C309,C310,C312,C313,C315,C316,C319,C321,C323,C339,C340,C341,C343,C344,C345,C347,C348,C349,C350,C352,C353,C355,C356,C358,C359,C360,C361,C364,C366,C368,C369,C387,C388,C389,C390,C392,C393,C394,C396,C397,C398,C399,C400,C403,C404,C406,C407,C409,C410,C411,C412,C415,C417,C419,C440,C441,C442,C443,C445,C446,C447,C449,C450,C451,C452,C455,C456,C458,C459,C460,C461,C464,C466,C468,C1157,C1158,C1160,C1161,C1162,C1163,C1164,C1165,C1167,C1168,C1169,C1170,C1171,C1172,C1175,C1176,C1177,C1178,C1180,C1182,C1183,C1184,C1187,C1188,C1189,C1190,C1193,C1194,C1195,C1196,C1197,C1201,C1202,C1203,C1245,C1247,C1248,C1249,C1250,C1251,C1252,C1253,C1254,C1255,C1256,C1257,C1258,C1260,C1261,C1262,C1263,C1265,C1266,C1267,C1268,C1269,C1270,C1271,C1273,C1274,C1275,C1277,C1278,C1279,C1281,C1282,C1283,C1284,C1286,C1288,C1289,C1291,C1292,C1294,C1296,C1297,C1298,C1299,C1301,C1302,C1303,C1304,C1305,C1307,C1308,C1309,C1310,C1312,C1313,C1314,C1315,C1316,C1317,C1318,C1321,C1322,C1323,C1325,C1326,C1327,C1329,C1330,C1331,C1332,C1334,C1335,C1337,C1338,C1340,C1341,C1343,C1345,C1346,C1348,C1349,C1351,C1352,C1353,C1354,C1355,C1357,C1358,C1359,C1360,C1362,C1363,C1364,C1365,C1366,C1367,C1368,C1371,C1372,C1373,C1375,C1376,C1377,C1379,C1380,C1381,C1382,C1384,C1386,C1387,C1389,C1390,C1392,C1394,C1395,C1397,C1399,C1401,C1402,C1403,C1405,C1406,C1407,C1409,C1410,C1411,C1412,C1414,C1415,C1416,C1417,C1418,C1419,C1420,C1424,C1425,C1426,C1428,C1429,C1430,C1432,C1433,C1434,C1435,C1437,C1439,C1440,C1442,C1502,C1504,C1506,C1508,C1510,C1512,C1513,C1514,C1516,C1517,C1519,C1520,C1522,C1523,C1524,C1525,C1528,C1529,C1530,C1531,C1533,C1534,C1535,C1536,C1538,C1539,C1540,C1541,C1542,C1544,C1545,C1546,C1548,C1549,C1550,C1552,C1553,C1555,C1557,C1559,C1561,C1563,C1565,C1566,C1567,C1569,C1570,C1572,C1573,C1574,C1576,C1577,C1578,C1579,C1582,C1583,C1584,C1585,C1587,C1588,C1589,C1590,C1592,C1593,C1594,C1595,C1596,C1598,C1599,C1600,C1602,C1603,C1604,C1606,C1607,C1609,C1610,C1611,C1613,C1614,C1615,C1616,C1618,C1619,C1620,C1621,C1622,C1623,C1624,C1625,C1628,C1629,C1630,C1631,C1633,C1634,C1635,C1636,C1638,C1639,C1640,C1641,C1642,C1643,C1644,C1645,C1648,C1649,C1650,C1651,C1653,C1654,C1655,C1656,C1658,C1659,C1660,C1661,C1662,C1663,C1664,C1665,C1670,C1671,C1672,C1673,C1675,C1676,C1677,C1678,C1680,C1681,C1682,C1683,C1684,C1685,C1687,C1688,C1689,C1691,C1692,C1693,C1695,C1696,C1698,C1699,C1700,C1701,C1703,C1704,C1705,C1706,C1708,C1709,C1710,C1711,C1712,C1713,C1714,C1715,C1720,C1721,C1722,C1723,C1725,C1726,C1727,C1728,C1730,C1731,C1732,C1733,C1734,C1735,C1736,C1737,C1741,C1742,C1743,C1744,C1746,C1747,C1748,C1749,C1751,C1752,C1753,C1754,C1755,C1756,C1757,C1758,C1763,C1764,C1765,C1766,C1768,C1769,C1770,C1771,C1773,C1774,C1775,C1776,C1777,C1778,C1780,C1781,C1782,C1784,C1785,C1786,C1788,C1789,C1886,C1887,C1888,C1889,C1890,C1891,C1893,C1894,C1895,C1896,C1897,C1898,C1899,C1900,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1911,C1912,C1914,C1915,C1916,C1918,C1919,C1920,C1922,C1923,C1924,C1925",673
NACLIND,2026-09-22,138.62,143.9,219.66,143.1,-3.13,-36.89,-3.67,-7.54,"C144,C146,C148,C150,C151,C179,C180,C182,C184,C185,C198,C211,C212,C213,C224,C235,C236,C263,C266,C269,C271,C272,C310,C313,C316,C317,C353,C356,C359,C361,C362,C404,C407,C410,C412,C413,C456,C459,C461,C462,C498,C501,C504,C505,C506,C539,C542,C545,C546,C547,C578,C581,C584,C585,C586,C629,C632,C635,C636,C679,C682,C685,C686,C687,C722,C725,C727,C728,C729,C764,C765,C766,C806,C809,C811,C812,C813,C853,C856,C857,C858,C859,C902,C905,C906,C907,C908,C947,C950,C953,C954,C955,C958,C995,C998,C1001,C1002,C1003,C1040,C1043,C1046,C1047,C1048,C1096,C1099,C1102,C1141,C1144,C1147,C1149,C1150,C1154,C1157,C1158,C1164,C1165,C1179,C1186,C1196,C1214,C1219,C1221,C1243,C1244,C1256,C1257,C1258,C1261,C1262,C1263,C1266,C1267,C1268,C1270,C1271,C1274,C1275,C1278,C1279,C1282,C1284,C1289,C1304,C1305,C1308,C1309,C1310,C1313,C1314,C1315,C1317,C1318,C1319,C1322,C1323,C1326,C1327,C1330,C1332,C1335,C1338,C1354,C1355,C1358,C1359,C1360,C1363,C1364,C1365,C1367,C1368,C1369,C1372,C1373,C1376,C1377,C1380,C1382,C1387,C1406,C1407,C1410,C1411,C1412,C1415,C1416,C1417,C1419,C1420,C1421,C1422,C1425,C1426,C1429,C1430,C1433,C1435,C1440,C1464,C1465,C1466,C1469,C1470,C1471,C1474,C1475,C1476,C1478,C1479,C1480,C1481,C1482,C1485,C1486,C1489,C1490,C1493,C1516,C1517,C1519,C1520,C1522,C1523,C1524,C1525,C1526,C1529,C1530,C1531,C1534,C1535,C1536,C1539,C1540,C1542,C1545,C1546,C1549,C1550,C1553,C1569,C1570,C1573,C1574,C1576,C1577,C1578,C1579,C1580,C1583,C1584,C1585,C1588,C1589,C1590,C1593,C1594,C1596,C1599,C1600,C1603,C1604,C1607,C1649,C1650,C1651,C1654,C1655,C1656,C1659,C1660,C1661,C1663,C1664,C1665,C1666,C1667,C1668,C1671,C1672,C1673,C1676,C1677,C1678,C1681,C1682,C1683,C1685,C1688,C1689,C1692,C1693,C1696,C1742,C1743,C1744,C1747,C1748,C1749,C1752,C1753,C1754,C1756,C1757,C1758,C1759,C1760,C1761,C1764,C1765,C1766,C1769,C1770,C1771,C1774,C1775,C1776,C1778,C1781,C1782,C1785,C1786,C1789,C1836,C1837,C1838,C1841,C1842,C1843,C1846,C1847,C1848,C1850,C1851,C1852,C1853,C1854,C1855,C1858,C1859,C1860,C1863,C1864,C1865,C1868,C1869,C1870,C1872,C1875,C1878,C1879,C1882,C1893,C1894,C1895,C1896,C1897,C1898,C1899,C1900,C1901,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1911,C1912,C1915,C1916,C1919,C1920,C1923,C1924",378
CONCOR,2026-09-22,467.0,487.05,815.05,480.7,-2.85,-42.7,-4.12,-3.45,"C274,C276,C278,C279,C319,C321,C323,C364,C366,C368,C369,C415,C417,C419,C464,C466,C468,C508,C510,C549,C551,C588,C590,C591,C639,C689,C691,C731,C733,C734,C735,C768,C770,C771,C815,C817,C818,C819,C861,C863,C864,C910,C912,C913,C957,C958,C960,C961,C1005,C1007,C1008,C1009,C1050,C1052,C1053,C1054,C1104,C1106,C1107,C1108,C1151,C1153,C1154,C1155,C1156,C1159,C1197,C1201,C1203,C1204,C1205,C1206,C1213,C1215,C1216,C1222,C1228,C1235,C1236,C1273,C1274,C1275,C1277,C1278,C1279,C1281,C1282,C1283,C1284,C1286,C1288,C1289,C1291,C1321,C1322,C1323,C1325,C1326,C1327,C1329,C1330,C1331,C1332,C1334,C1335,C1337,C1338,C1340,C1371,C1372,C1373,C1375,C1376,C1377,C1379,C1380,C1381,C1382,C1384,C1386,C1387,C1389,C1424,C1425,C1426,C1428,C1429,C1430,C1432,C1433,C1434,C1435,C1437,C1439,C1440,C1442,C1484,C1485,C1486,C1488,C1489,C1490,C1492,C1493,C1494,C1496,C1498,C1500,C1528,C1529,C1530,C1531,C1533,C1534,C1535,C1536,C1538,C1539,C1540,C1541,C1542,C1544,C1545,C1546,C1548,C1549,C1550,C1552,C1553,C1582,C1583,C1584,C1585,C1587,C1588,C1589,C1590,C1592,C1593,C1594,C1595,C1596,C1598,C1599,C1600,C1602,C1603,C1604,C1606,C1607,C1670,C1671,C1672,C1673,C1675,C1676,C1677,C1678,C1680,C1681,C1682,C1683,C1684,C1685,C1687,C1688,C1689,C1691,C1692,C1693,C1695,C1696,C1763,C1764,C1765,C1766,C1768,C1769,C1770,C1771,C1773,C1774,C1775,C1776,C1777,C1778,C1780,C1781,C1782,C1784,C1785,C1786,C1788,C1789,C1857,C1858,C1859,C1860,C1862,C1863,C1864,C1865,C1867,C1868,C1869,C1870,C1871,C1872,C1874,C1875,C1877,C1878,C1879,C1881,C1882,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1911,C1912,C1914,C1915,C1916,C1918,C1919,C1920,C1922,C1923,C1924,C1925",276
APTECHT,2026-09-22,91.78,94.72,188.32,94.0,-2.36,-51.26,-3.1,-19.95,"C273,C274,C275,C276,C318,C319,C320,C321,C363,C364,C365,C366,C414,C415,C416,C417,C463,C464,C465,C466,C507,C508,C509,C510,C548,C549,C550,C551,C587,C588,C589,C590,C637,C638,C639,C688,C689,C690,C691,C730,C731,C732,C733,C767,C768,C769,C770,C814,C815,C816,C817,C860,C861,C862,C863,C909,C910,C911,C912,C956,C957,C958,C959,C960,C1004,C1005,C1006,C1007,C1049,C1050,C1051,C1052,C1103,C1104,C1105,C1106,C1151,C1152,C1153,C1154,C1159,C1272,C1273,C1274,C1275,C1276,C1277,C1278,C1279,C1285,C1286,C1287,C1288,C1289,C1320,C1321,C1322,C1323,C1324,C1325,C1326,C1327,C1333,C1334,C1335,C1336,C1337,C1338,C1370,C1371,C1372,C1373,C1374,C1375,C1376,C1377,C1383,C1384,C1385,C1386,C1387,C1423,C1424,C1425,C1426,C1427,C1428,C1429,C1430,C1436,C1437,C1438,C1439,C1440,C1483,C1484,C1485,C1486,C1487,C1488,C1489,C1490,C1495,C1496,C1497,C1498,C1527,C1528,C1529,C1530,C1531,C1532,C1533,C1534,C1535,C1536,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1581,C1582,C1583,C1584,C1585,C1586,C1587,C1588,C1589,C1590,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1669,C1670,C1671,C1672,C1673,C1674,C1675,C1676,C1677,C1678,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1762,C1763,C1764,C1765,C1766,C1767,C1768,C1769,C1770,C1771,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1856,C1857,C1858,C1859,C1860,C1861,C1862,C1863,C1864,C1865,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1902,C1903,C1904,C1905,C1906,C1907,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920",249
ONIXSOLAR,2026-09-22,322.6,339.55,464.2,339.55,-4.99,-30.5,-4.99,-22.59,"C133,C136,C139,C168,C171,C174,C187,C190,C192,C195,C197,C200,C203,C205,C208,C210,C214,C217,C221,C223,C228,C230,C1160,C1161,C1162,C1163,C1184,C1185,C1250,C1251,C1252,C1253,C1254,C1257,C1258,C1262,C1263,C1267,C1268,C1270,C1271,C1275,C1279,C1298,C1299,C1301,C1302,C1304,C1305,C1309,C1310,C1314,C1315,C1317,C1318,C1319,C1323,C1327,C1348,C1349,C1351,C1352,C1354,C1355,C1359,C1360,C1364,C1365,C1367,C1368,C1369,C1373,C1377,C1397,C1399,C1402,C1403,C1404,C1406,C1407,C1411,C1412,C1416,C1417,C1419,C1420,C1421,C1422,C1426,C1430,C1454,C1456,C1459,C1460,C1461,C1462,C1465,C1466,C1470,C1471,C1475,C1476,C1479,C1480,C1481,C1482,C1486,C1490,C1508,C1510,C1512,C1513,C1514,C1516,C1517,C1519,C1520,C1522,C1523,C1524,C1525,C1526,C1530,C1531,C1535,C1536,C1540,C1546,C1550,C1561,C1563,C1565,C1566,C1567,C1569,C1570,C1573,C1574,C1576,C1577,C1578,C1579,C1580,C1584,C1585,C1589,C1590,C1594,C1600,C1604,C1630,C1631,C1635,C1636,C1640,C1641,C1644,C1645,C1650,C1651,C1655,C1656,C1660,C1661,C1664,C1665,C1667,C1668,C1672,C1673,C1677,C1678,C1682,C1683,C1689,C1693,C1722,C1723,C1727,C1728,C1732,C1733,C1736,C1737,C1739,C1743,C1744,C1748,C1749,C1753,C1754,C1757,C1758,C1760,C1761,C1765,C1766,C1770,C1771,C1775,C1776,C1782,C1786,C1815,C1816,C1820,C1821,C1825,C1826,C1829,C1830,C1832,C1833,C1837,C1838,C1842,C1843,C1847,C1848,C1851,C1852,C1854,C1855,C1859,C1860,C1864,C1865,C1869,C1870,C1879",230
ORTINGLOBE,2026-09-22,14.74,15.36,21.3,15.21,-3.09,-30.8,-4.04,-11.31,"C1257,C1258,C1262,C1263,C1267,C1268,C1270,C1271,C1275,C1279,C1304,C1305,C1309,C1310,C1314,C1315,C1317,C1318,C1319,C1323,C1327,C1354,C1355,C1359,C1360,C1364,C1365,C1367,C1368,C1369,C1373,C1377,C1406,C1407,C1411,C1412,C1416,C1417,C1419,C1420,C1421,C1422,C1426,C1430,C1465,C1466,C1470,C1471,C1475,C1476,C1479,C1480,C1481,C1482,C1486,C1490,C1516,C1517,C1519,C1520,C1522,C1523,C1524,C1525,C1526,C1530,C1531,C1535,C1536,C1540,C1546,C1550,C1569,C1570,C1573,C1574,C1576,C1577,C1578,C1579,C1580,C1584,C1585,C1589,C1590,C1594,C1600,C1604,C1650,C1651,C1655,C1656,C1660,C1661,C1664,C1665,C1667,C1668,C1672,C1673,C1677,C1678,C1682,C1683,C1689,C1693,C1743,C1744,C1748,C1749,C1753,C1754,C1757,C1758,C1760,C1761,C1765,C1766,C1770,C1771,C1775,C1776,C1782,C1786,C1837,C1838,C1842,C1843,C1847,C1848,C1851,C1852,C1854,C1855,C1859,C1860,C1864,C1865,C1869,C1870,C1879",141
BLUECOAST,2026-09-22,19.83,20.56,36.5,20.2,-1.83,-45.67,-3.55,-5.97,"C1285,C1286,C1287,C1288,C1289,C1290,C1291,C1333,C1334,C1335,C1336,C1337,C1338,C1339,C1340,C1383,C1384,C1385,C1386,C1387,C1388,C1389,C1436,C1437,C1438,C1439,C1440,C1441,C1442,C1495,C1496,C1497,C1498,C1499,C1500,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1551,C1552,C1553,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1605,C1606,C1607,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1694,C1695,C1696,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1787,C1788,C1789,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1880,C1881,C1882,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920,C1921,C1922,C1923,C1924",101
LANDSMILL,2026-09-22,0.54,0.55,1.17,0.55,-1.82,-53.85,-1.82,-5.26,"C1285,C1286,C1287,C1288,C1289,C1333,C1334,C1335,C1336,C1337,C1338,C1383,C1384,C1385,C1386,C1387,C1436,C1437,C1438,C1439,C1440,C1495,C1496,C1497,C1498,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920",72
PGHH,2026-09-22,7282.0,7426.0,14964.1,7410.0,-1.73,-51.34,-1.94,-3.0,"C1285,C1286,C1287,C1288,C1289,C1333,C1334,C1335,C1336,C1337,C1338,C1383,C1384,C1385,C1386,C1387,C1436,C1437,C1438,C1439,C1440,C1495,C1496,C1497,C1498,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920",72
