SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
ZEEL,2026-09-10,80.95,85.71,151.7,84.81,-4.55,-46.64,-5.55,-11.67,"C8,C9,C10,C11,C12,C13,C14,C31,C32,C33,C34,C35,C36,C52,C53,C54,C55,C56,C73,C74,C75,C76,C91,C92,C93,C94,C98,C99,C116,C117,C132,C133,C134,C135,C136,C137,C138,C139,C143,C144,C145,C146,C147,C148,C166,C167,C168,C169,C170,C171,C172,C173,C174,C178,C179,C180,C181,C182,C187,C188,C189,C190,C191,C192,C200,C201,C202,C203,C204,C205,C211,C214,C215,C216,C217,C218,C227,C228,C229,C230,C234,C235,C251,C252,C253,C254,C255,C256,C257,C258,C261,C262,C263,C264,C265,C266,C267,C268,C269,C273,C274,C275,C276,C277,C278,C295,C296,C297,C298,C299,C300,C301,C302,C303,C304,C305,C308,C309,C310,C311,C312,C313,C314,C315,C316,C318,C319,C320,C321,C322,C323,C338,C339,C340,C341,C342,C343,C344,C345,C346,C347,C348,C351,C352,C353,C354,C355,C356,C357,C358,C359,C363,C364,C365,C366,C367,C368,C386,C387,C388,C389,C390,C391,C392,C393,C394,C395,C396,C397,C398,C402,C403,C404,C405,C406,C407,C408,C409,C410,C414,C415,C416,C417,C418,C419,C439,C440,C441,C442,C443,C444,C445,C446,C447,C448,C449,C450,C454,C455,C456,C457,C458,C459,C463,C464,C465,C466,C467,C468,C483,C484,C485,C486,C487,C488,C489,C490,C491,C492,C493,C496,C497,C498,C499,C500,C501,C502,C503,C504,C507,C508,C509,C510,C525,C526,C527,C528,C529,C530,C531,C532,C533,C534,C537,C538,C539,C540,C541,C542,C543,C544,C545,C548,C549,C550,C551,C568,C569,C570,C571,C572,C573,C576,C577,C578,C579,C580,C581,C582,C583,C584,C587,C588,C589,C590,C591,C612,C613,C614,C615,C616,C617,C618,C619,C620,C621,C622,C623,C627,C628,C629,C630,C631,C632,C633,C634,C635,C637,C638,C639,C661,C662,C663,C664,C665,C666,C667,C668,C669,C670,C671,C672,C673,C677,C678,C679,C680,C681,C682,C683,C684,C685,C688,C689,C690,C691,C706,C707,C708,C709,C710,C711,C712,C713,C714,C715,C716,C720,C721,C722,C723,C724,C725,C726,C727,C730,C731,C732,C733,C734,C749,C750,C751,C752,C753,C754,C755,C756,C757,C758,C759,C762,C763,C764,C767,C768,C769,C770,C771,C789,C790,C791,C792,C793,C794,C795,C796,C797,C798,C799,C800,C801,C804,C805,C806,C807,C808,C809,C810,C811,C814,C815,C816,C817,C818,C835,C836,C837,C838,C839,C840,C841,C842,C843,C844,C845,C846,C847,C851,C852,C853,C854,C855,C856,C857,C860,C861,C862,C863,C864,C886,C887,C888,C889,C890,C891,C892,C893,C894,C895,C896,C897,C898,C900,C901,C902,C903,C904,C905,C906,C909,C910,C911,C912,C913,C930,C931,C932,C933,C934,C935,C936,C937,C938,C939,C940,C941,C942,C945,C946,C947,C948,C949,C950,C951,C952,C953,C956,C957,C958,C959,C960,C978,C979,C980,C981,C982,C983,C984,C985,C986,C987,C988,C989,C990,C993,C994,C995,C996,C997,C998,C999,C1000,C1001,C1004,C1005,C1006,C1007,C1008,C1028,C1029,C1030,C1031,C1032,C1033,C1034,C1035,C1038,C1039,C1040,C1041,C1042,C1043,C1044,C1045,C1046,C1049,C1050,C1051,C1052,C1053,C1076,C1077,C1078,C1079,C1080,C1081,C1082,C1083,C1084,C1085,C1086,C1087,C1088,C1089,C1094,C1095,C1096,C1097,C1098,C1099,C1100,C1101,C1102,C1103,C1104,C1105,C1106,C1107,C1124,C1125,C1126,C1127,C1128,C1129,C1130,C1131,C1132,C1133,C1134,C1135,C1139,C1140,C1141,C1142,C1143,C1144,C1145,C1146,C1147,C1151,C1152,C1153,C1154,C1155,C1158,C1159,C1160,C1161,C1162,C1163,C1164,C1175,C1176,C1182,C1189,C1192,C1193,C1194,C1202,C1204,C1207,C1208,C1209,C1210,C1211,C1212,C1217,C1218,C1219,C1220,C1221,C1230,C1231,C1236,C1237,C1238,C1239,C1240,C1241,C1242,C1250,C1251,C1252,C1255,C1256,C1257,C1258,C1259,C1260,C1261,C1262,C1263,C1264,C1265,C1266,C1267,C1268,C1272,C1273,C1274,C1275,C1276,C1277,C1278,C1279,C1280,C1281,C1282,C1285,C1286,C1287,C1288,C1289,C1290,C1291,C1298,C1299,C1300,C1301,C1303,C1304,C1305,C1306,C1307,C1308,C1309,C1310,C1311,C1312,C1313,C1314,C1315,C1320,C1321,C1322,C1323,C1324,C1325,C1326,C1327,C1328,C1329,C1330,C1333,C1334,C1335,C1336,C1337,C1338,C1339,C1340,C1348,C1349,C1350,C1351,C1353,C1354,C1355,C1356,C1357,C1358,C1359,C1360,C1361,C1362,C1363,C1364,C1365,C1370,C1371,C1372,C1373,C1374,C1375,C1376,C1377,C1378,C1379,C1380,C1383,C1384,C1385,C1386,C1387,C1388,C1389,C1397,C1398,C1399,C1400,C1401,C1402,C1405,C1406,C1407,C1408,C1409,C1410,C1411,C1412,C1413,C1414,C1415,C1416,C1417,C1423,C1424,C1425,C1426,C1427,C1428,C1429,C1430,C1431,C1432,C1433,C1436,C1437,C1438,C1439,C1440,C1441,C1442,C1454,C1455,C1456,C1457,C1458,C1459,C1460,C1463,C1464,C1465,C1466,C1467,C1468,C1469,C1470,C1471,C1472,C1473,C1474,C1475,C1476,C1483,C1484,C1485,C1486,C1487,C1488,C1489,C1490,C1491,C1492,C1493,C1495,C1496,C1497,C1498,C1499,C1500,C1507,C1508,C1509,C1510,C1511,C1512,C1515,C1516,C1517,C1518,C1519,C1520,C1521,C1522,C1523,C1527,C1528,C1529,C1530,C1531,C1532,C1533,C1534,C1535,C1536,C1537,C1538,C1539,C1540,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1551,C1552,C1553,C1560,C1561,C1562,C1563,C1564,C1565,C1568,C1569,C1570,C1571,C1572,C1573,C1574,C1575,C1576,C1577,C1581,C1582,C1583,C1584,C1585,C1586,C1587,C1588,C1589,C1590,C1591,C1592,C1593,C1594,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1605,C1606,C1607,C1627,C1628,C1629,C1630,C1631,C1632,C1633,C1634,C1635,C1636,C1637,C1638,C1639,C1640,C1641,C1647,C1648,C1649,C1650,C1651,C1652,C1653,C1654,C1655,C1656,C1657,C1658,C1659,C1660,C1661,C1669,C1670,C1671,C1672,C1673,C1674,C1675,C1676,C1677,C1678,C1679,C1680,C1681,C1682,C1683,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1694,C1695,C1696,C1719,C1720,C1721,C1722,C1723,C1724,C1725,C1726,C1727,C1728,C1729,C1730,C1731,C1732,C1733,C1740,C1741,C1742,C1743,C1744,C1745,C1746,C1747,C1748,C1749,C1750,C1751,C1752,C1753,C1754,C1762,C1763,C1764,C1765,C1766,C1767,C1768,C1769,C1770,C1771,C1772,C1773,C1774,C1775,C1776,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1787,C1788,C1789,C1812,C1813,C1814,C1815,C1816,C1817,C1818,C1819,C1820,C1821,C1822,C1823,C1824,C1825,C1826,C1834,C1835,C1836,C1837,C1838,C1839,C1840,C1841,C1842,C1843,C1844,C1845,C1846,C1847,C1848,C1856,C1857,C1858,C1859,C1860,C1861,C1862,C1863,C1864,C1865,C1866,C1867,C1868,C1869,C1870,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1880,C1881,C1882,C1886,C1887,C1888,C1889,C1893,C1894,C1895,C1896,C1897,C1898,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920,C1921,C1922,C1923,C1924",1071
LCCINFOTEC,2026-09-10,3.19,3.54,6.31,3.5,-8.86,-49.45,-9.89,-17.14,"C1,C2,C3,C4,C5,C6,C8,C9,C10,C11,C12,C13,C14,C18,C19,C20,C21,C22,C23,C24,C25,C26,C31,C32,C33,C34,C35,C36,C143,C144,C145,C146,C147,C148,C178,C179,C180,C181,C182,C225,C227,C228,C229,C230,C261,C262,C263,C264,C265,C266,C267,C268,C269,C273,C274,C275,C276,C277,C278,C308,C309,C310,C311,C312,C313,C314,C315,C316,C318,C319,C320,C321,C322,C323,C351,C352,C353,C354,C355,C356,C357,C358,C359,C363,C364,C365,C366,C367,C368,C402,C403,C404,C405,C406,C407,C408,C409,C410,C414,C415,C416,C417,C418,C419,C454,C455,C456,C457,C458,C459,C463,C464,C465,C466,C467,C468,C496,C497,C498,C499,C500,C501,C502,C503,C504,C507,C508,C509,C510,C537,C538,C539,C540,C541,C542,C543,C544,C545,C548,C549,C550,C551,C576,C577,C578,C579,C580,C581,C582,C583,C584,C587,C588,C589,C590,C591,C627,C628,C629,C630,C631,C632,C633,C634,C635,C637,C638,C639,C677,C678,C679,C680,C681,C682,C683,C684,C685,C688,C689,C690,C691,C720,C721,C722,C723,C724,C725,C726,C727,C730,C731,C732,C733,C734,C762,C763,C764,C767,C768,C769,C770,C771,C804,C805,C806,C807,C808,C809,C810,C811,C814,C815,C816,C817,C818,C851,C852,C853,C854,C855,C856,C857,C860,C861,C862,C863,C864,C900,C901,C902,C903,C904,C905,C906,C909,C910,C911,C912,C913,C945,C946,C947,C948,C949,C950,C951,C952,C953,C956,C957,C958,C959,C960,C993,C994,C995,C996,C997,C998,C999,C1000,C1001,C1004,C1005,C1006,C1007,C1008,C1038,C1039,C1040,C1041,C1042,C1043,C1044,C1045,C1046,C1049,C1050,C1051,C1052,C1053,C1094,C1095,C1096,C1097,C1098,C1099,C1100,C1101,C1102,C1103,C1104,C1105,C1106,C1107,C1139,C1140,C1141,C1142,C1143,C1144,C1145,C1146,C1147,C1151,C1152,C1153,C1154,C1155,C1158,C1159,C1160,C1161,C1162,C1163,C1164,C1167,C1168,C1169,C1170,C1175,C1176,C1180,C1182,C1189,C1202,C1204,C1217,C1218,C1219,C1220,C1221,C1236,C1245,C1246,C1247,C1248,C1250,C1251,C1252,C1255,C1256,C1257,C1258,C1259,C1260,C1261,C1262,C1263,C1264,C1265,C1266,C1267,C1268,C1272,C1273,C1274,C1275,C1276,C1277,C1278,C1279,C1280,C1281,C1282,C1285,C1286,C1287,C1288,C1289,C1290,C1291,C1292,C1293,C1294,C1295,C1296,C1298,C1299,C1300,C1301,C1303,C1304,C1305,C1306,C1307,C1308,C1309,C1310,C1311,C1312,C1313,C1314,C1315,C1320,C1321,C1322,C1323,C1324,C1325,C1326,C1327,C1328,C1329,C1330,C1333,C1334,C1335,C1336,C1337,C1338,C1339,C1340,C1515,C1516,C1517,C1518,C1519,C1520,C1521,C1522,C1523,C1527,C1528,C1529,C1530,C1531,C1532,C1533,C1534,C1535,C1536,C1537,C1538,C1539,C1540,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1551,C1552,C1553,C1568,C1569,C1570,C1571,C1572,C1573,C1574,C1575,C1576,C1577,C1581,C1582,C1583,C1584,C1585,C1586,C1587,C1588,C1589,C1590,C1591,C1592,C1593,C1594,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1605,C1606,C1607,C1647,C1648,C1649,C1650,C1651,C1652,C1653,C1654,C1655,C1656,C1657,C1658,C1659,C1660,C1661,C1669,C1670,C1671,C1672,C1673,C1674,C1675,C1676,C1677,C1678,C1679,C1680,C1681,C1682,C1683,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1694,C1695,C1696,C1740,C1741,C1742,C1743,C1744,C1745,C1746,C1747,C1748,C1749,C1750,C1751,C1752,C1753,C1754,C1762,C1763,C1764,C1765,C1766,C1767,C1768,C1769,C1770,C1771,C1772,C1773,C1774,C1775,C1776,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1787,C1788,C1789,C1834,C1835,C1836,C1837,C1838,C1839,C1840,C1841,C1842,C1843,C1844,C1845,C1846,C1847,C1848,C1856,C1857,C1858,C1859,C1860,C1861,C1862,C1863,C1864,C1865,C1866,C1867,C1868,C1869,C1870,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1880,C1881,C1882,C1893,C1894,C1895,C1896,C1897,C1898,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920,C1921,C1922,C1923,C1924",631
AFCONS,2026-09-10,260.85,274.15,570.0,273.0,-4.45,-54.24,-4.85,-11.49,"C8,C9,C10,C11,C12,C14,C31,C32,C33,C34,C35,C36,C52,C53,C54,C55,C56,C73,C74,C75,C76,C91,C92,C93,C94,C98,C132,C133,C134,C135,C136,C143,C144,C145,C146,C166,C167,C168,C169,C170,C171,C178,C179,C180,C187,C188,C189,C190,C200,C201,C202,C203,C211,C214,C215,C216,C217,C227,C228,C235,C261,C262,C263,C264,C265,C266,C273,C274,C275,C276,C308,C309,C310,C311,C312,C313,C318,C319,C320,C321,C351,C352,C353,C354,C355,C356,C363,C364,C365,C366,C402,C403,C404,C405,C406,C407,C414,C415,C416,C417,C454,C455,C456,C463,C464,C465,C466,C1158,C1160,C1161,C1163,C1164,C1175,C1202,C1250,C1251,C1255,C1256,C1257,C1258,C1259,C1260,C1261,C1262,C1263,C1272,C1273,C1274,C1275,C1276,C1277,C1278,C1279,C1285,C1286,C1287,C1288,C1289,C1298,C1299,C1303,C1304,C1305,C1306,C1307,C1308,C1309,C1310,C1320,C1321,C1322,C1323,C1324,C1325,C1326,C1327,C1333,C1334,C1335,C1336,C1337,C1338,C1348,C1349,C1353,C1354,C1355,C1356,C1357,C1358,C1359,C1360,C1370,C1371,C1372,C1373,C1374,C1375,C1376,C1377,C1383,C1384,C1385,C1386,C1387,C1397,C1398,C1399,C1405,C1406,C1407,C1408,C1409,C1410,C1411,C1412,C1423,C1424,C1425,C1426,C1427,C1428,C1429,C1430,C1436,C1437,C1438,C1439,C1440,C1454,C1455,C1456,C1463,C1464,C1465,C1466,C1467,C1468,C1469,C1470,C1471,C1483,C1484,C1485,C1486,C1487,C1488,C1489,C1490,C1495,C1496,C1497,C1498,C1507,C1508,C1509,C1510,C1515,C1516,C1517,C1518,C1519,C1520,C1527,C1528,C1529,C1530,C1531,C1532,C1533,C1534,C1535,C1536,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1560,C1561,C1562,C1563,C1568,C1569,C1570,C1571,C1572,C1573,C1574,C1581,C1582,C1583,C1584,C1585,C1586,C1587,C1588,C1589,C1590,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1627,C1628,C1629,C1630,C1631,C1632,C1633,C1634,C1635,C1636,C1647,C1648,C1649,C1650,C1651,C1652,C1653,C1654,C1655,C1656,C1669,C1670,C1671,C1672,C1673,C1674,C1675,C1676,C1677,C1678,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1719,C1720,C1721,C1722,C1723,C1724,C1725,C1726,C1727,C1728,C1740,C1741,C1742,C1743,C1744,C1745,C1746,C1747,C1748,C1749,C1762,C1763,C1764,C1765,C1766,C1767,C1768,C1769,C1770,C1771,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1812,C1813,C1814,C1815,C1816,C1817,C1818,C1819,C1820,C1821,C1834,C1835,C1836,C1837,C1838,C1839,C1840,C1841,C1842,C1843,C1856,C1857,C1858,C1859,C1860,C1861,C1862,C1863,C1864,C1865,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1893,C1894,C1895,C1896,C1902,C1903,C1904,C1905,C1906,C1907,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920",421
RAJSREESUG,2026-09-10,33.66,35.22,64.0,35.03,-3.91,-47.41,-4.43,-7.6,"C14,C36,C56,C76,C94,C143,C144,C145,C146,C147,C148,C178,C179,C180,C181,C182,C211,C235,C273,C274,C275,C276,C277,C278,C318,C319,C320,C321,C322,C323,C363,C364,C365,C366,C367,C368,C414,C415,C416,C417,C418,C419,C463,C464,C465,C466,C467,C468,C1164,C1255,C1256,C1257,C1258,C1259,C1260,C1261,C1262,C1263,C1264,C1265,C1266,C1267,C1268,C1272,C1273,C1274,C1275,C1276,C1277,C1278,C1279,C1280,C1281,C1282,C1285,C1286,C1287,C1288,C1289,C1290,C1291,C1303,C1304,C1305,C1306,C1307,C1308,C1309,C1310,C1311,C1312,C1313,C1314,C1315,C1320,C1321,C1322,C1323,C1324,C1325,C1326,C1327,C1328,C1329,C1330,C1333,C1334,C1335,C1336,C1337,C1338,C1339,C1340,C1353,C1354,C1355,C1356,C1357,C1358,C1359,C1360,C1361,C1362,C1363,C1364,C1365,C1370,C1371,C1372,C1373,C1374,C1375,C1376,C1377,C1378,C1379,C1380,C1383,C1384,C1385,C1386,C1387,C1388,C1389,C1405,C1406,C1407,C1408,C1409,C1410,C1411,C1412,C1413,C1414,C1415,C1416,C1417,C1423,C1424,C1425,C1426,C1427,C1428,C1429,C1430,C1431,C1432,C1433,C1436,C1437,C1438,C1439,C1440,C1441,C1442,C1463,C1464,C1465,C1466,C1467,C1468,C1469,C1470,C1471,C1472,C1473,C1474,C1475,C1476,C1483,C1484,C1485,C1486,C1487,C1488,C1489,C1490,C1491,C1492,C1493,C1495,C1496,C1497,C1498,C1499,C1500,C1515,C1516,C1517,C1518,C1519,C1520,C1521,C1522,C1523,C1527,C1528,C1529,C1530,C1531,C1532,C1533,C1534,C1535,C1536,C1537,C1538,C1539,C1540,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1551,C1552,C1553,C1568,C1569,C1570,C1571,C1572,C1573,C1574,C1575,C1576,C1577,C1581,C1582,C1583,C1584,C1585,C1586,C1587,C1588,C1589,C1590,C1591,C1592,C1593,C1594,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1605,C1606,C1607,C1647,C1648,C1649,C1650,C1651,C1652,C1653,C1654,C1655,C1656,C1657,C1658,C1659,C1660,C1661,C1669,C1670,C1671,C1672,C1673,C1674,C1675,C1676,C1677,C1678,C1679,C1680,C1681,C1682,C1683,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1694,C1695,C1696,C1740,C1741,C1742,C1743,C1744,C1745,C1746,C1747,C1748,C1749,C1750,C1751,C1752,C1753,C1754,C1762,C1763,C1764,C1765,C1766,C1767,C1768,C1769,C1770,C1771,C1772,C1773,C1774,C1775,C1776,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1787,C1788,C1789,C1834,C1835,C1836,C1837,C1838,C1839,C1840,C1841,C1842,C1843,C1844,C1845,C1846,C1847,C1848,C1856,C1857,C1858,C1859,C1860,C1861,C1862,C1863,C1864,C1865,C1866,C1867,C1868,C1869,C1870,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1880,C1881,C1882,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920,C1921,C1922,C1923,C1924",418
THOMASCOTT,2026-09-10,243.9,250.6,459.8,249.0,-2.05,-46.96,-2.67,-6.53,"C273,C274,C275,C276,C277,C278,C318,C319,C320,C321,C322,C323,C363,C364,C365,C366,C367,C368,C414,C415,C416,C417,C418,C419,C463,C464,C465,C466,C467,C468,C507,C508,C509,C510,C548,C549,C550,C551,C587,C588,C589,C590,C591,C637,C638,C639,C688,C689,C690,C691,C730,C731,C732,C733,C734,C767,C768,C769,C770,C771,C814,C815,C816,C817,C818,C860,C861,C862,C863,C864,C909,C910,C911,C912,C913,C956,C957,C958,C959,C960,C1004,C1005,C1006,C1007,C1008,C1049,C1050,C1051,C1052,C1053,C1103,C1104,C1105,C1106,C1107,C1151,C1152,C1153,C1154,C1155,C1159,C1204,C1236,C1272,C1273,C1274,C1275,C1276,C1277,C1278,C1279,C1280,C1281,C1282,C1285,C1286,C1287,C1288,C1289,C1290,C1291,C1320,C1321,C1322,C1323,C1324,C1325,C1326,C1327,C1328,C1329,C1330,C1333,C1334,C1335,C1336,C1337,C1338,C1339,C1340,C1370,C1371,C1372,C1373,C1374,C1375,C1376,C1377,C1378,C1379,C1380,C1383,C1384,C1385,C1386,C1387,C1388,C1389,C1423,C1424,C1425,C1426,C1427,C1428,C1429,C1430,C1431,C1432,C1433,C1436,C1437,C1438,C1439,C1440,C1441,C1442,C1483,C1484,C1485,C1486,C1487,C1488,C1489,C1490,C1491,C1492,C1493,C1495,C1496,C1497,C1498,C1499,C1500,C1527,C1528,C1529,C1530,C1531,C1532,C1533,C1534,C1535,C1536,C1537,C1538,C1539,C1540,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1551,C1552,C1553,C1581,C1582,C1583,C1584,C1585,C1586,C1587,C1588,C1589,C1590,C1591,C1592,C1593,C1594,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1605,C1606,C1607,C1669,C1670,C1671,C1672,C1673,C1674,C1675,C1676,C1677,C1678,C1679,C1680,C1681,C1682,C1683,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1694,C1695,C1696,C1762,C1763,C1764,C1765,C1766,C1767,C1768,C1769,C1770,C1771,C1772,C1773,C1774,C1775,C1776,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1787,C1788,C1789,C1856,C1857,C1858,C1859,C1860,C1861,C1862,C1863,C1864,C1865,C1866,C1867,C1868,C1869,C1870,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1880,C1881,C1882,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920,C1921,C1922,C1923,C1924",341
LAOPALA,2026-09-10,162.4,167.46,328.0,166.5,-2.46,-50.49,-3.02,-5.33,"C273,C274,C275,C276,C318,C319,C320,C321,C363,C364,C365,C366,C414,C415,C416,C417,C463,C464,C465,C466,C507,C508,C509,C510,C548,C549,C550,C551,C587,C588,C589,C590,C637,C638,C639,C688,C689,C690,C691,C730,C731,C732,C733,C767,C768,C769,C770,C814,C815,C816,C817,C860,C861,C862,C863,C909,C910,C911,C912,C956,C957,C958,C959,C960,C1004,C1005,C1006,C1007,C1049,C1050,C1051,C1052,C1103,C1104,C1105,C1106,C1151,C1152,C1153,C1154,C1159,C1272,C1273,C1274,C1275,C1276,C1277,C1278,C1279,C1285,C1286,C1287,C1288,C1289,C1320,C1321,C1322,C1323,C1324,C1325,C1326,C1327,C1333,C1334,C1335,C1336,C1337,C1338,C1370,C1371,C1372,C1373,C1374,C1375,C1376,C1377,C1383,C1384,C1385,C1386,C1387,C1423,C1424,C1425,C1426,C1427,C1428,C1429,C1430,C1436,C1437,C1438,C1439,C1440,C1483,C1484,C1485,C1486,C1487,C1488,C1489,C1490,C1495,C1496,C1497,C1498,C1527,C1528,C1529,C1530,C1531,C1532,C1533,C1534,C1535,C1536,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1581,C1582,C1583,C1584,C1585,C1586,C1587,C1588,C1589,C1590,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1669,C1670,C1671,C1672,C1673,C1674,C1675,C1676,C1677,C1678,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1762,C1763,C1764,C1765,C1766,C1767,C1768,C1769,C1770,C1771,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1856,C1857,C1858,C1859,C1860,C1861,C1862,C1863,C1864,C1865,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1902,C1903,C1904,C1905,C1906,C1907,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920",249
RADIANTCMS,2026-09-10,37.53,40.25,77.03,39.24,-4.36,-51.28,-6.76,-5.87,"C8,C9,C10,C11,C12,C14,C31,C32,C33,C34,C35,C36,C52,C53,C54,C55,C56,C73,C74,C75,C76,C91,C92,C93,C94,C187,C188,C189,C190,C200,C201,C202,C203,C211,C214,C215,C216,C217,C227,C228,C235,C1160,C1161,C1163,C1164,C1175,C1250,C1251,C1255,C1256,C1257,C1258,C1259,C1260,C1261,C1262,C1263,C1272,C1273,C1274,C1275,C1276,C1277,C1278,C1279,C1285,C1286,C1287,C1288,C1289,C1298,C1299,C1303,C1304,C1305,C1306,C1307,C1308,C1309,C1310,C1320,C1321,C1322,C1323,C1324,C1325,C1326,C1327,C1333,C1334,C1335,C1336,C1337,C1338,C1348,C1349,C1353,C1354,C1355,C1356,C1357,C1358,C1359,C1360,C1370,C1371,C1372,C1373,C1374,C1375,C1376,C1377,C1383,C1384,C1385,C1386,C1387,C1397,C1398,C1399,C1405,C1406,C1407,C1408,C1409,C1410,C1411,C1412,C1423,C1424,C1425,C1426,C1427,C1428,C1429,C1430,C1436,C1437,C1438,C1439,C1440,C1454,C1455,C1456,C1463,C1464,C1465,C1466,C1467,C1468,C1469,C1470,C1471,C1483,C1484,C1485,C1486,C1487,C1488,C1489,C1490,C1495,C1496,C1497,C1498",165
EUROPRATIK,2026-09-10,247.75,254.4,390.0,253.1,-2.11,-36.47,-2.61,-7.21,"C958,C1154,C1274,C1275,C1278,C1279,C1282,C1284,C1289,C1322,C1323,C1326,C1327,C1330,C1332,C1335,C1338,C1372,C1373,C1376,C1377,C1380,C1382,C1387,C1425,C1426,C1429,C1430,C1433,C1435,C1440,C1485,C1486,C1489,C1490,C1493,C1529,C1530,C1531,C1534,C1535,C1536,C1539,C1540,C1542,C1545,C1546,C1549,C1550,C1553,C1583,C1584,C1585,C1588,C1589,C1590,C1593,C1594,C1596,C1599,C1600,C1603,C1604,C1607,C1671,C1672,C1673,C1676,C1677,C1678,C1681,C1682,C1683,C1685,C1688,C1689,C1692,C1693,C1696,C1764,C1765,C1766,C1769,C1770,C1771,C1774,C1775,C1776,C1778,C1781,C1782,C1785,C1786,C1789,C1858,C1859,C1860,C1863,C1864,C1865,C1868,C1869,C1870,C1872,C1875,C1878,C1879,C1882,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1911,C1912,C1915,C1916,C1919,C1920,C1923,C1924",125
NELCAST,2026-09-10,110.0,113.94,180.9,113.0,-2.65,-39.19,-3.46,-7.38,"C958,C1154,C1274,C1275,C1278,C1279,C1282,C1284,C1289,C1322,C1323,C1326,C1327,C1330,C1332,C1335,C1338,C1372,C1373,C1376,C1377,C1380,C1382,C1387,C1425,C1426,C1429,C1430,C1433,C1435,C1440,C1485,C1486,C1489,C1490,C1493,C1529,C1530,C1531,C1534,C1535,C1536,C1539,C1540,C1542,C1545,C1546,C1549,C1550,C1553,C1583,C1584,C1585,C1588,C1589,C1590,C1593,C1594,C1596,C1599,C1600,C1603,C1604,C1607,C1671,C1672,C1673,C1676,C1677,C1678,C1681,C1682,C1683,C1685,C1688,C1689,C1692,C1693,C1696,C1764,C1765,C1766,C1769,C1770,C1771,C1774,C1775,C1776,C1778,C1781,C1782,C1785,C1786,C1789,C1858,C1859,C1860,C1863,C1864,C1865,C1868,C1869,C1870,C1872,C1875,C1878,C1879,C1882,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1911,C1912,C1915,C1916,C1919,C1920,C1923,C1924",125
