SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
BORORENEW,2026-09-15,461.3,495.65,721.0,494.0,-6.62,-36.02,-6.93,-10.19,"C3,C10,C20,C21,C23,C25,C26,C28,C29,C30,C33,C42,C43,C44,C46,C47,C49,C50,C51,C54,C62,C63,C64,C65,C66,C67,C69,C70,C71,C72,C75,C98,C105,C112,C114,C115,C120,C121,C123,C124,C126,C127,C129,C130,C131,C133,C135,C136,C138,C139,C141,C142,C144,C146,C148,C150,C151,C153,C154,C156,C157,C159,C160,C162,C163,C164,C165,C167,C168,C170,C171,C173,C174,C176,C177,C179,C180,C182,C184,C185,C187,C189,C190,C191,C192,C194,C195,C196,C197,C198,C200,C202,C203,C204,C205,C207,C208,C209,C210,C211,C212,C213,C225,C226,C227,C228,C230,C232,C233,C235,C236,C239,C240,C243,C244,C247,C248,C249,C250,C251,C254,C255,C258,C260,C263,C266,C269,C271,C272,C282,C283,C286,C287,C290,C291,C292,C293,C294,C297,C298,C301,C302,C305,C307,C310,C313,C316,C317,C326,C327,C330,C331,C334,C335,C336,C337,C340,C341,C344,C345,C348,C350,C353,C356,C359,C361,C362,C372,C373,C374,C377,C379,C380,C381,C382,C383,C384,C385,C388,C389,C390,C393,C394,C397,C398,C400,C401,C404,C407,C410,C412,C413,C422,C423,C424,C427,C428,C429,C432,C433,C434,C435,C436,C437,C438,C441,C442,C443,C446,C447,C450,C452,C453,C456,C459,C461,C462,C471,C472,C475,C476,C479,C480,C482,C485,C486,C489,C490,C493,C495,C498,C501,C504,C505,C506,C513,C514,C517,C518,C521,C522,C524,C527,C528,C531,C534,C536,C539,C542,C545,C546,C547,C554,C555,C556,C559,C560,C561,C564,C565,C566,C567,C570,C571,C572,C573,C575,C578,C581,C584,C585,C586,C594,C595,C596,C599,C600,C601,C604,C605,C606,C607,C608,C609,C610,C611,C614,C615,C616,C619,C620,C623,C625,C626,C629,C632,C635,C636,C642,C643,C644,C646,C647,C648,C651,C652,C653,C655,C656,C657,C658,C659,C660,C663,C664,C665,C668,C669,C670,C673,C675,C676,C679,C682,C685,C686,C687,C694,C695,C698,C699,C702,C703,C705,C708,C709,C712,C713,C716,C718,C719,C722,C725,C727,C728,C729,C738,C739,C742,C743,C746,C748,C751,C752,C755,C756,C759,C761,C764,C765,C766,C774,C775,C776,C779,C780,C781,C784,C785,C787,C788,C791,C792,C793,C796,C797,C800,C801,C803,C806,C809,C811,C812,C813,C822,C823,C824,C827,C828,C829,C831,C832,C833,C834,C837,C838,C839,C842,C843,C846,C847,C849,C850,C853,C856,C857,C858,C859,C867,C868,C869,C872,C873,C874,C877,C878,C879,C881,C882,C883,C884,C885,C888,C889,C890,C893,C894,C895,C898,C899,C902,C905,C906,C907,C908,C916,C917,C918,C921,C922,C925,C926,C928,C929,C932,C933,C934,C937,C938,C941,C942,C944,C947,C950,C953,C954,C955,C958,C964,C965,C966,C969,C970,C973,C974,C976,C977,C980,C981,C982,C985,C986,C989,C990,C992,C995,C998,C1001,C1002,C1003,C1012,C1013,C1014,C1017,C1018,C1019,C1022,C1023,C1024,C1026,C1027,C1028,C1029,C1030,C1031,C1034,C1035,C1037,C1040,C1043,C1046,C1047,C1048,C1057,C1058,C1059,C1062,C1063,C1064,C1067,C1068,C1069,C1071,C1072,C1073,C1074,C1075,C1078,C1079,C1080,C1083,C1084,C1085,C1088,C1089,C1091,C1092,C1093,C1096,C1099,C1102,C1110,C1111,C1112,C1113,C1114,C1116,C1117,C1119,C1120,C1121,C1122,C1123,C1124,C1125,C1126,C1128,C1129,C1130,C1133,C1134,C1135,C1136,C1137,C1138,C1141,C1144,C1147,C1149,C1150,C1154,C1157,C1158,C1160,C1161,C1162,C1163,C1164,C1165,C1166,C1167,C1168,C1169,C1170,C1171,C1172,C1173,C1174,C1175,C1176,C1178,C1179,C1180,C1181,C1182,C1183,C1184,C1185,C1186,C1188,C1191,C1194,C1196,C1198,C1199,C1207,C1210,C1214,C1219,C1221,C1224,C1225,C1226,C1229,C1230,C1231,C1233,C1234,C1239,C1240,C1243,C1244,C1245,C1247,C1248,C1249,C1250,C1251,C1252,C1253,C1254,C1256,C1257,C1258,C1261,C1262,C1263,C1266,C1267,C1268,C1270,C1271,C1274,C1275,C1278,C1279,C1282,C1284,C1289,C1292,C1294,C1296,C1297,C1298,C1299,C1301,C1302,C1304,C1305,C1308,C1309,C1310,C1313,C1314,C1315,C1317,C1318,C1319,C1322,C1323,C1326,C1327,C1330,C1332,C1335,C1338,C1341,C1343,C1345,C1346,C1347,C1348,C1349,C1351,C1352,C1354,C1355,C1358,C1359,C1360,C1363,C1364,C1365,C1367,C1368,C1369,C1372,C1373,C1376,C1377,C1380,C1382,C1387,C1390,C1392,C1394,C1395,C1396,C1397,C1399,C1402,C1403,C1404,C1406,C1407,C1410,C1411,C1412,C1415,C1416,C1417,C1419,C1420,C1421,C1422,C1425,C1426,C1429,C1430,C1433,C1435,C1440,C1502,C1504,C1506,C1508,C1510,C1512,C1513,C1514,C1516,C1517,C1519,C1520,C1522,C1523,C1524,C1525,C1526,C1529,C1530,C1531,C1534,C1535,C1536,C1539,C1540,C1542,C1545,C1546,C1549,C1550,C1553,C1555,C1557,C1559,C1561,C1563,C1565,C1566,C1567,C1569,C1570,C1573,C1574,C1576,C1577,C1578,C1579,C1580,C1583,C1584,C1585,C1588,C1589,C1590,C1593,C1594,C1596,C1599,C1600,C1603,C1604,C1607,C1609,C1610,C1611,C1614,C1615,C1616,C1619,C1620,C1621,C1623,C1624,C1625,C1626,C1629,C1630,C1631,C1634,C1635,C1636,C1639,C1640,C1641,C1643,C1644,C1645,C1646,C1649,C1650,C1651,C1654,C1655,C1656,C1659,C1660,C1661,C1663,C1664,C1665,C1666,C1667,C1668,C1671,C1672,C1673,C1676,C1677,C1678,C1681,C1682,C1683,C1685,C1688,C1689,C1692,C1693,C1696,C1699,C1700,C1701,C1704,C1705,C1706,C1709,C1710,C1711,C1713,C1714,C1715,C1716,C1717,C1718,C1721,C1722,C1723,C1726,C1727,C1728,C1731,C1732,C1733,C1735,C1736,C1737,C1738,C1739,C1742,C1743,C1744,C1747,C1748,C1749,C1752,C1753,C1754,C1756,C1757,C1758,C1759,C1760,C1761,C1764,C1765,C1766,C1769,C1770,C1771,C1774,C1775,C1776,C1778,C1781,C1782,C1785,C1786,C1789,C1792,C1793,C1794,C1797,C1798,C1799,C1802,C1803,C1804,C1806,C1807,C1808,C1809,C1810,C1811,C1814,C1815,C1816,C1819,C1820,C1821,C1824,C1825,C1826,C1828,C1829,C1830,C1831,C1832,C1833,C1836,C1837,C1838,C1841,C1842,C1843,C1846,C1847,C1848,C1850,C1851,C1852,C1853,C1854,C1855,C1858,C1859,C1860,C1863,C1864,C1865,C1868,C1869,C1870,C1872,C1875,C1878,C1879,C1882,C1883,C1884,C1885,C1886,C1887,C1888,C1889,C1890,C1891,C1892,C1893,C1894,C1895,C1896,C1897,C1898,C1899,C1900,C1901,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1911,C1912,C1915,C1916,C1919,C1920,C1923,C1924",994
RMC,2026-09-15,201.09,211.68,363.0,210.31,-4.38,-44.6,-5.0,-13.81,"C9,C10,C12,C32,C33,C35,C53,C54,C74,C75,C92,C93,C98,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C143,C144,C145,C146,C147,C148,C149,C150,C166,C167,C168,C169,C170,C171,C172,C173,C174,C175,C176,C178,C179,C180,C181,C182,C183,C184,C187,C188,C189,C190,C191,C192,C193,C194,C195,C200,C201,C202,C203,C204,C205,C206,C207,C208,C211,C212,C214,C215,C216,C217,C218,C219,C220,C221,C227,C228,C229,C230,C231,C234,C235,C236,C251,C253,C254,C255,C257,C258,C259,C260,C262,C263,C265,C266,C268,C269,C270,C271,C274,C276,C278,C279,C296,C297,C298,C300,C301,C302,C304,C305,C306,C307,C309,C310,C312,C313,C315,C316,C319,C321,C323,C339,C340,C341,C343,C344,C345,C347,C348,C349,C350,C352,C353,C355,C356,C358,C359,C360,C361,C364,C366,C368,C369,C387,C388,C389,C390,C392,C393,C394,C396,C397,C398,C399,C400,C403,C404,C406,C407,C409,C410,C411,C412,C415,C417,C419,C440,C441,C442,C443,C445,C446,C447,C449,C450,C451,C452,C455,C456,C458,C459,C460,C461,C464,C466,C468,C484,C485,C486,C488,C489,C490,C492,C493,C494,C495,C497,C498,C500,C501,C503,C504,C505,C508,C510,C526,C527,C528,C530,C531,C533,C534,C535,C536,C538,C539,C541,C542,C544,C545,C546,C549,C551,C569,C570,C571,C572,C573,C574,C575,C577,C578,C580,C581,C583,C584,C585,C588,C590,C591,C613,C614,C615,C616,C618,C619,C620,C622,C623,C624,C625,C628,C629,C631,C632,C634,C635,C636,C639,C662,C663,C664,C665,C667,C668,C669,C670,C672,C673,C674,C675,C678,C679,C681,C682,C684,C685,C686,C689,C691,C707,C708,C709,C711,C712,C713,C715,C716,C717,C718,C721,C722,C724,C725,C727,C728,C731,C733,C734,C735,C750,C751,C752,C754,C755,C756,C758,C759,C760,C761,C763,C764,C765,C768,C770,C771,C790,C791,C792,C793,C795,C796,C797,C799,C800,C801,C802,C803,C805,C806,C808,C809,C811,C812,C815,C817,C818,C819,C836,C837,C838,C839,C841,C842,C843,C845,C846,C847,C848,C849,C852,C853,C855,C856,C857,C858,C861,C863,C864,C887,C888,C889,C890,C892,C893,C894,C895,C897,C898,C899,C901,C902,C904,C905,C906,C907,C910,C912,C913,C1157,C1158,C1159,C1160,C1161,C1162,C1163,C1164,C1165,C1175,C1176,C1177,C1178,C1182,C1183,C1184,C1189,C1193,C1194,C1195,C1196,C1197,C1201,C1202,C1203,C1204,C1205,C1206,C1207,C1209,C1210,C1212,C1213,C1215,C1216,C1218,C1219,C1221,C1222,C1228,C1230,C1231,C1232,C1233,C1235,C1250,C1251,C1252,C1253,C1254,C1255,C1256,C1257,C1258,C1260,C1261,C1262,C1263,C1265,C1266,C1267,C1268,C1269,C1270,C1271,C1273,C1274,C1275,C1277,C1278,C1279,C1281,C1282,C1283,C1284,C1286,C1288,C1289,C1291,C1298,C1299,C1301,C1302,C1303,C1304,C1305,C1307,C1308,C1309,C1310,C1312,C1313,C1314,C1315,C1316,C1317,C1318,C1321,C1322,C1323,C1325,C1326,C1327,C1329,C1330,C1331,C1332,C1334,C1335,C1337,C1338,C1340,C1348,C1349,C1351,C1352,C1353,C1354,C1355,C1357,C1358,C1359,C1360,C1362,C1363,C1364,C1365,C1366,C1367,C1368,C1371,C1372,C1373,C1375,C1376,C1377,C1379,C1380,C1381,C1382,C1384,C1386,C1387,C1389,C1397,C1399,C1401,C1402,C1403,C1405,C1406,C1407,C1409,C1410,C1411,C1412,C1414,C1415,C1416,C1417,C1418,C1419,C1420,C1424,C1425,C1426,C1428,C1429,C1430,C1432,C1433,C1434,C1435,C1437,C1439,C1440,C1442,C1454,C1456,C1458,C1459,C1460,C1461,C1463,C1464,C1465,C1466,C1468,C1469,C1470,C1471,C1473,C1474,C1475,C1476,C1477,C1478,C1479,C1480,C1484,C1485,C1486,C1488,C1489,C1490,C1492,C1493,C1494,C1496,C1498,C1500,C1508,C1510,C1512,C1513,C1514,C1516,C1517,C1519,C1520,C1522,C1523,C1524,C1525,C1528,C1529,C1530,C1531,C1533,C1534,C1535,C1536,C1538,C1539,C1540,C1541,C1542,C1544,C1545,C1546,C1548,C1549,C1550,C1552,C1553,C1561,C1563,C1565,C1566,C1567,C1569,C1570,C1572,C1573,C1574,C1576,C1577,C1578,C1579,C1582,C1583,C1584,C1585,C1587,C1588,C1589,C1590,C1592,C1593,C1594,C1595,C1596,C1598,C1599,C1600,C1602,C1603,C1604,C1606,C1607,C1628,C1629,C1630,C1631,C1633,C1634,C1635,C1636,C1638,C1639,C1640,C1641,C1642,C1643,C1644,C1645,C1648,C1649,C1650,C1651,C1653,C1654,C1655,C1656,C1658,C1659,C1660,C1661,C1662,C1663,C1664,C1665,C1670,C1671,C1672,C1673,C1675,C1676,C1677,C1678,C1680,C1681,C1682,C1683,C1684,C1685,C1687,C1688,C1689,C1691,C1692,C1693,C1695,C1696,C1720,C1721,C1722,C1723,C1725,C1726,C1727,C1728,C1730,C1731,C1732,C1733,C1734,C1735,C1736,C1737,C1741,C1742,C1743,C1744,C1746,C1747,C1748,C1749,C1751,C1752,C1753,C1754,C1755,C1756,C1757,C1758,C1763,C1764,C1765,C1766,C1768,C1769,C1770,C1771,C1773,C1774,C1775,C1776,C1777,C1778,C1780,C1781,C1782,C1784,C1785,C1786,C1788,C1789,C1813,C1814,C1815,C1816,C1818,C1819,C1820,C1821,C1823,C1824,C1825,C1826,C1827,C1828,C1829,C1830,C1835,C1836,C1837,C1838,C1840,C1841,C1842,C1843,C1845,C1846,C1847,C1848,C1849,C1850,C1851,C1852,C1857,C1858,C1859,C1860,C1862,C1863,C1864,C1865,C1867,C1868,C1869,C1870,C1871,C1872,C1874,C1875,C1877,C1878,C1879,C1881,C1882,C1886,C1887,C1888,C1889,C1890,C1891,C1893,C1894,C1895,C1896,C1897,C1898,C1899,C1900,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1911,C1912,C1914,C1915,C1916,C1918,C1919,C1920,C1922,C1923,C1924,C1925",858
SHRIKRISH,2026-09-15,34.22,37.0,56.0,36.0,-4.94,-38.89,-7.51,-12.75,"C10,C33,C54,C75,C93,C98,C133,C135,C136,C138,C139,C141,C142,C144,C146,C148,C150,C151,C167,C168,C170,C171,C173,C174,C176,C177,C179,C180,C182,C184,C185,C187,C189,C190,C191,C192,C194,C195,C196,C197,C198,C200,C202,C203,C204,C205,C207,C208,C209,C210,C211,C212,C213,C214,C216,C217,C218,C220,C221,C222,C223,C224,C226,C227,C228,C230,C232,C235,C236,C251,C254,C255,C258,C260,C263,C266,C269,C271,C272,C297,C298,C301,C302,C305,C307,C310,C313,C316,C317,C340,C341,C344,C345,C348,C350,C353,C356,C359,C361,C362,C388,C389,C390,C393,C394,C397,C398,C400,C401,C404,C407,C410,C412,C413,C441,C442,C443,C446,C447,C450,C452,C453,C456,C459,C461,C462,C485,C486,C489,C490,C493,C495,C498,C501,C504,C505,C506,C527,C528,C531,C534,C536,C539,C542,C545,C546,C547,C570,C571,C572,C573,C575,C578,C581,C584,C585,C586,C614,C615,C616,C619,C620,C623,C625,C626,C629,C632,C635,C636,C663,C664,C665,C668,C669,C670,C673,C675,C676,C679,C682,C685,C686,C687,C708,C709,C712,C713,C716,C718,C719,C722,C725,C727,C728,C729,C751,C752,C755,C756,C759,C761,C764,C765,C766,C791,C792,C793,C796,C797,C800,C801,C803,C806,C809,C811,C812,C813,C837,C838,C839,C842,C843,C846,C847,C849,C850,C853,C856,C857,C858,C859,C888,C889,C890,C893,C894,C895,C898,C899,C902,C905,C906,C907,C908,C932,C933,C934,C937,C938,C941,C942,C944,C947,C950,C953,C954,C955,C958,C980,C981,C982,C985,C986,C989,C990,C992,C995,C998,C1001,C1002,C1003,C1028,C1029,C1030,C1031,C1034,C1035,C1037,C1040,C1043,C1046,C1047,C1048,C1078,C1079,C1080,C1083,C1084,C1085,C1088,C1089,C1091,C1092,C1093,C1096,C1099,C1102,C1124,C1125,C1126,C1128,C1129,C1130,C1133,C1134,C1135,C1136,C1137,C1138,C1141,C1144,C1147,C1149,C1150,C1154,C1157,C1158,C1160,C1161,C1162,C1163,C1164,C1165,C1175,C1176,C1178,C1179,C1182,C1183,C1184,C1185,C1186,C1194,C1196,C1207,C1210,C1214,C1219,C1221,C1230,C1231,C1233,C1234,C1239,C1240,C1243,C1244,C1250,C1251,C1252,C1253,C1254,C1256,C1257,C1258,C1261,C1262,C1263,C1266,C1267,C1268,C1270,C1271,C1274,C1275,C1278,C1279,C1282,C1284,C1289,C1298,C1299,C1301,C1302,C1304,C1305,C1308,C1309,C1310,C1313,C1314,C1315,C1317,C1318,C1319,C1322,C1323,C1326,C1327,C1330,C1332,C1335,C1338,C1348,C1349,C1351,C1352,C1354,C1355,C1358,C1359,C1360,C1363,C1364,C1365,C1367,C1368,C1369,C1372,C1373,C1376,C1377,C1380,C1382,C1387,C1397,C1399,C1402,C1403,C1404,C1406,C1407,C1410,C1411,C1412,C1415,C1416,C1417,C1419,C1420,C1421,C1422,C1425,C1426,C1429,C1430,C1433,C1435,C1440,C1454,C1456,C1459,C1460,C1461,C1462,C1464,C1465,C1466,C1469,C1470,C1471,C1474,C1475,C1476,C1478,C1479,C1480,C1481,C1482,C1485,C1486,C1489,C1490,C1493,C1508,C1510,C1512,C1513,C1514,C1516,C1517,C1519,C1520,C1522,C1523,C1524,C1525,C1526,C1529,C1530,C1531,C1534,C1535,C1536,C1539,C1540,C1542,C1545,C1546,C1549,C1550,C1553,C1561,C1563,C1565,C1566,C1567,C1569,C1570,C1573,C1574,C1576,C1577,C1578,C1579,C1580,C1583,C1584,C1585,C1588,C1589,C1590,C1593,C1594,C1596,C1599,C1600,C1603,C1604,C1607,C1629,C1630,C1631,C1634,C1635,C1636,C1639,C1640,C1641,C1643,C1644,C1645,C1646,C1649,C1650,C1651,C1654,C1655,C1656,C1659,C1660,C1661,C1663,C1664,C1665,C1666,C1667,C1668,C1671,C1672,C1673,C1676,C1677,C1678,C1681,C1682,C1683,C1685,C1688,C1689,C1692,C1693,C1696,C1721,C1722,C1723,C1726,C1727,C1728,C1731,C1732,C1733,C1735,C1736,C1737,C1738,C1739,C1742,C1743,C1744,C1747,C1748,C1749,C1752,C1753,C1754,C1756,C1757,C1758,C1759,C1760,C1761,C1764,C1765,C1766,C1769,C1770,C1771,C1774,C1775,C1776,C1778,C1781,C1782,C1785,C1786,C1789,C1814,C1815,C1816,C1819,C1820,C1821,C1824,C1825,C1826,C1828,C1829,C1830,C1831,C1832,C1833,C1836,C1837,C1838,C1841,C1842,C1843,C1846,C1847,C1848,C1850,C1851,C1852,C1853,C1854,C1855,C1858,C1859,C1860,C1863,C1864,C1865,C1868,C1869,C1870,C1872,C1875,C1878,C1879,C1882,C1886,C1887,C1888,C1889,C1890,C1891,C1892,C1893,C1894,C1895,C1896,C1897,C1898,C1899,C1900,C1901,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1911,C1912,C1915,C1916,C1919,C1920,C1923,C1924",684
COCHINSHIP,2026-09-15,1325.0,1381.0,2545.0,1372.0,-3.43,-47.94,-4.06,-12.04,"C14,C36,C56,C76,C94,C143,C144,C145,C146,C147,C148,C178,C179,C180,C181,C182,C211,C235,C261,C262,C263,C264,C265,C266,C267,C268,C269,C273,C274,C275,C276,C277,C278,C308,C309,C310,C311,C312,C313,C314,C315,C316,C318,C319,C320,C321,C322,C323,C351,C352,C353,C354,C355,C356,C357,C358,C359,C363,C364,C365,C366,C367,C368,C402,C403,C404,C405,C406,C407,C408,C409,C410,C414,C415,C416,C417,C418,C419,C454,C455,C456,C457,C458,C459,C463,C464,C465,C466,C467,C468,C496,C497,C498,C499,C500,C501,C502,C503,C504,C507,C508,C509,C510,C537,C538,C539,C540,C541,C542,C543,C544,C545,C548,C549,C550,C551,C576,C577,C578,C579,C580,C581,C582,C583,C584,C587,C588,C589,C590,C591,C627,C628,C629,C630,C631,C632,C633,C634,C635,C637,C638,C639,C677,C678,C679,C680,C681,C682,C683,C684,C685,C688,C689,C690,C691,C720,C721,C722,C723,C724,C725,C726,C727,C730,C731,C732,C733,C734,C762,C763,C764,C767,C768,C769,C770,C771,C804,C805,C806,C807,C808,C809,C810,C811,C814,C815,C816,C817,C818,C851,C852,C853,C854,C855,C856,C857,C860,C861,C862,C863,C864,C900,C901,C902,C903,C904,C905,C906,C909,C910,C911,C912,C913,C945,C946,C947,C948,C949,C950,C951,C952,C953,C956,C957,C958,C959,C960,C993,C994,C995,C996,C997,C998,C999,C1000,C1001,C1004,C1005,C1006,C1007,C1008,C1038,C1039,C1040,C1041,C1042,C1043,C1044,C1045,C1046,C1049,C1050,C1051,C1052,C1053,C1094,C1095,C1096,C1097,C1098,C1099,C1100,C1101,C1102,C1103,C1104,C1105,C1106,C1107,C1139,C1140,C1141,C1142,C1143,C1144,C1145,C1146,C1147,C1151,C1152,C1153,C1154,C1155,C1158,C1159,C1164,C1202,C1204,C1217,C1218,C1219,C1220,C1221,C1236,C1255,C1256,C1257,C1258,C1259,C1260,C1261,C1262,C1263,C1264,C1265,C1266,C1267,C1268,C1272,C1273,C1274,C1275,C1276,C1277,C1278,C1279,C1280,C1281,C1282,C1285,C1286,C1287,C1288,C1289,C1290,C1291,C1303,C1304,C1305,C1306,C1307,C1308,C1309,C1310,C1311,C1312,C1313,C1314,C1315,C1320,C1321,C1322,C1323,C1324,C1325,C1326,C1327,C1328,C1329,C1330,C1333,C1334,C1335,C1336,C1337,C1338,C1339,C1340,C1353,C1354,C1355,C1356,C1357,C1358,C1359,C1360,C1361,C1362,C1363,C1364,C1365,C1370,C1371,C1372,C1373,C1374,C1375,C1376,C1377,C1378,C1379,C1380,C1383,C1384,C1385,C1386,C1387,C1388,C1389,C1405,C1406,C1407,C1408,C1409,C1410,C1411,C1412,C1413,C1414,C1415,C1416,C1417,C1423,C1424,C1425,C1426,C1427,C1428,C1429,C1430,C1431,C1432,C1433,C1436,C1437,C1438,C1439,C1440,C1441,C1442,C1463,C1464,C1465,C1466,C1467,C1468,C1469,C1470,C1471,C1472,C1473,C1474,C1475,C1476,C1483,C1484,C1485,C1486,C1487,C1488,C1489,C1490,C1491,C1492,C1493,C1495,C1496,C1497,C1498,C1499,C1500,C1515,C1516,C1517,C1518,C1519,C1520,C1521,C1522,C1523,C1527,C1528,C1529,C1530,C1531,C1532,C1533,C1534,C1535,C1536,C1537,C1538,C1539,C1540,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1551,C1552,C1553,C1568,C1569,C1570,C1571,C1572,C1573,C1574,C1575,C1576,C1577,C1581,C1582,C1583,C1584,C1585,C1586,C1587,C1588,C1589,C1590,C1591,C1592,C1593,C1594,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1605,C1606,C1607,C1647,C1648,C1649,C1650,C1651,C1652,C1653,C1654,C1655,C1656,C1657,C1658,C1659,C1660,C1661,C1669,C1670,C1671,C1672,C1673,C1674,C1675,C1676,C1677,C1678,C1679,C1680,C1681,C1682,C1683,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1694,C1695,C1696,C1740,C1741,C1742,C1743,C1744,C1745,C1746,C1747,C1748,C1749,C1750,C1751,C1752,C1753,C1754,C1762,C1763,C1764,C1765,C1766,C1767,C1768,C1769,C1770,C1771,C1772,C1773,C1774,C1775,C1776,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1787,C1788,C1789,C1834,C1835,C1836,C1837,C1838,C1839,C1840,C1841,C1842,C1843,C1844,C1845,C1846,C1847,C1848,C1856,C1857,C1858,C1859,C1860,C1861,C1862,C1863,C1864,C1865,C1866,C1867,C1868,C1869,C1870,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1880,C1881,C1882,C1893,C1894,C1895,C1896,C1897,C1898,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920,C1921,C1922,C1923,C1924",669
