SYMBOL,SIGNAL_DATE,SIGNAL_CLOSE,PREV_CLOSE,ATH_PRICE,MIN_5D_LOW,PCT_FROM_LOW,PCT_FROM_ATH,PCT_1D_CHANGE,CHG_5D,CONFIGS_MATCHED,CONFIG_COUNT
AERONEU,2026-09-08,74.13,77.28,125.37,77.0,-3.73,-40.87,-4.08,-4.92,"C143,C144,C145,C146,C147,C148,C149,C150,C178,C179,C180,C181,C182,C183,C184,C211,C212,C235,C236,C262,C263,C265,C266,C268,C269,C270,C271,C274,C276,C278,C279,C309,C310,C312,C313,C315,C316,C319,C321,C323,C352,C353,C355,C356,C358,C359,C360,C361,C364,C366,C368,C369,C403,C404,C406,C407,C409,C410,C411,C412,C415,C417,C419,C455,C456,C458,C459,C460,C461,C464,C466,C468,C497,C498,C500,C501,C503,C504,C505,C508,C510,C538,C539,C541,C542,C544,C545,C546,C549,C551,C577,C578,C580,C581,C583,C584,C585,C588,C590,C591,C628,C629,C631,C632,C634,C635,C636,C639,C678,C679,C681,C682,C684,C685,C686,C689,C691,C721,C722,C724,C725,C727,C728,C731,C733,C734,C735,C763,C764,C765,C768,C770,C771,C805,C806,C808,C809,C811,C812,C815,C817,C818,C819,C852,C853,C855,C856,C857,C858,C861,C863,C864,C901,C902,C904,C905,C906,C907,C910,C912,C913,C946,C947,C949,C950,C952,C953,C954,C957,C958,C960,C961,C994,C995,C997,C998,C1000,C1001,C1002,C1005,C1007,C1008,C1009,C1039,C1040,C1042,C1043,C1045,C1046,C1047,C1050,C1052,C1053,C1054,C1095,C1096,C1098,C1099,C1101,C1102,C1104,C1106,C1107,C1108,C1140,C1141,C1143,C1144,C1146,C1147,C1148,C1149,C1151,C1153,C1154,C1155,C1156,C1157,C1158,C1159,C1164,C1165,C1195,C1196,C1197,C1201,C1202,C1203,C1204,C1205,C1206,C1213,C1215,C1216,C1218,C1219,C1221,C1222,C1228,C1235,C1236,C1243,C1255,C1256,C1257,C1258,C1260,C1261,C1262,C1263,C1265,C1266,C1267,C1268,C1269,C1270,C1271,C1273,C1274,C1275,C1277,C1278,C1279,C1281,C1282,C1283,C1284,C1286,C1288,C1289,C1291,C1303,C1304,C1305,C1307,C1308,C1309,C1310,C1312,C1313,C1314,C1315,C1316,C1317,C1318,C1321,C1322,C1323,C1325,C1326,C1327,C1329,C1330,C1331,C1332,C1334,C1335,C1337,C1338,C1340,C1353,C1354,C1355,C1357,C1358,C1359,C1360,C1362,C1363,C1364,C1365,C1366,C1367,C1368,C1371,C1372,C1373,C1375,C1376,C1377,C1379,C1380,C1381,C1382,C1384,C1386,C1387,C1389,C1405,C1406,C1407,C1409,C1410,C1411,C1412,C1414,C1415,C1416,C1417,C1418,C1419,C1420,C1424,C1425,C1426,C1428,C1429,C1430,C1432,C1433,C1434,C1435,C1437,C1439,C1440,C1442,C1463,C1464,C1465,C1466,C1468,C1469,C1470,C1471,C1473,C1474,C1475,C1476,C1477,C1478,C1479,C1480,C1484,C1485,C1486,C1488,C1489,C1490,C1492,C1493,C1494,C1496,C1498,C1500,C1516,C1517,C1519,C1520,C1522,C1523,C1524,C1525,C1528,C1529,C1530,C1531,C1533,C1534,C1535,C1536,C1538,C1539,C1540,C1541,C1542,C1544,C1545,C1546,C1548,C1549,C1550,C1552,C1553,C1569,C1570,C1572,C1573,C1574,C1576,C1577,C1578,C1579,C1582,C1583,C1584,C1585,C1587,C1588,C1589,C1590,C1592,C1593,C1594,C1595,C1596,C1598,C1599,C1600,C1602,C1603,C1604,C1606,C1607,C1648,C1649,C1650,C1651,C1653,C1654,C1655,C1656,C1658,C1659,C1660,C1661,C1662,C1663,C1664,C1665,C1670,C1671,C1672,C1673,C1675,C1676,C1677,C1678,C1680,C1681,C1682,C1683,C1684,C1685,C1687,C1688,C1689,C1691,C1692,C1693,C1695,C1696,C1741,C1742,C1743,C1744,C1746,C1747,C1748,C1749,C1751,C1752,C1753,C1754,C1755,C1756,C1757,C1758,C1763,C1764,C1765,C1766,C1768,C1769,C1770,C1771,C1773,C1774,C1775,C1776,C1777,C1778,C1780,C1781,C1782,C1784,C1785,C1786,C1788,C1789,C1835,C1836,C1837,C1838,C1840,C1841,C1842,C1843,C1845,C1846,C1847,C1848,C1849,C1850,C1851,C1852,C1857,C1858,C1859,C1860,C1862,C1863,C1864,C1865,C1867,C1868,C1869,C1870,C1871,C1872,C1874,C1875,C1877,C1878,C1879,C1881,C1882,C1893,C1894,C1895,C1896,C1897,C1898,C1899,C1900,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1911,C1912,C1914,C1915,C1916,C1918,C1919,C1920,C1922,C1923,C1924,C1925",585
RUSTOMJEE,2026-09-08,357.55,366.9,697.0,365.65,-2.22,-48.7,-2.55,-4.92,"C273,C274,C275,C276,C277,C278,C318,C319,C320,C321,C322,C323,C363,C364,C365,C366,C367,C368,C414,C415,C416,C417,C418,C419,C463,C464,C465,C466,C467,C468,C507,C508,C509,C510,C548,C549,C550,C551,C587,C588,C589,C590,C591,C637,C638,C639,C688,C689,C690,C691,C730,C731,C732,C733,C734,C767,C768,C769,C770,C771,C814,C815,C816,C817,C818,C860,C861,C862,C863,C864,C909,C910,C911,C912,C913,C956,C957,C958,C959,C960,C1004,C1005,C1006,C1007,C1008,C1049,C1050,C1051,C1052,C1053,C1103,C1104,C1105,C1106,C1107,C1151,C1152,C1153,C1154,C1155,C1159,C1204,C1236,C1272,C1273,C1274,C1275,C1276,C1277,C1278,C1279,C1280,C1281,C1282,C1285,C1286,C1287,C1288,C1289,C1290,C1291,C1320,C1321,C1322,C1323,C1324,C1325,C1326,C1327,C1328,C1329,C1330,C1333,C1334,C1335,C1336,C1337,C1338,C1339,C1340,C1370,C1371,C1372,C1373,C1374,C1375,C1376,C1377,C1378,C1379,C1380,C1383,C1384,C1385,C1386,C1387,C1388,C1389,C1423,C1424,C1425,C1426,C1427,C1428,C1429,C1430,C1431,C1432,C1433,C1436,C1437,C1438,C1439,C1440,C1441,C1442,C1483,C1484,C1485,C1486,C1487,C1488,C1489,C1490,C1491,C1492,C1493,C1495,C1496,C1497,C1498,C1499,C1500,C1527,C1528,C1529,C1530,C1531,C1532,C1533,C1534,C1535,C1536,C1537,C1538,C1539,C1540,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1551,C1552,C1553,C1581,C1582,C1583,C1584,C1585,C1586,C1587,C1588,C1589,C1590,C1591,C1592,C1593,C1594,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1605,C1606,C1607,C1669,C1670,C1671,C1672,C1673,C1674,C1675,C1676,C1677,C1678,C1679,C1680,C1681,C1682,C1683,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1694,C1695,C1696,C1762,C1763,C1764,C1765,C1766,C1767,C1768,C1769,C1770,C1771,C1772,C1773,C1774,C1775,C1776,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1787,C1788,C1789,C1856,C1857,C1858,C1859,C1860,C1861,C1862,C1863,C1864,C1865,C1866,C1867,C1868,C1869,C1870,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1880,C1881,C1882,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920,C1921,C1922,C1923,C1924",341
CAPILLARY,2026-09-08,460.55,473.8,798.95,472.0,-2.43,-42.36,-2.8,-6.35,"C274,C276,C278,C279,C319,C321,C323,C364,C366,C368,C369,C415,C417,C419,C464,C466,C468,C508,C510,C549,C551,C588,C590,C591,C639,C689,C691,C731,C733,C734,C735,C768,C770,C771,C815,C817,C818,C819,C861,C863,C864,C910,C912,C913,C957,C958,C960,C961,C1005,C1007,C1008,C1009,C1050,C1052,C1053,C1054,C1104,C1106,C1107,C1108,C1151,C1153,C1154,C1155,C1156,C1159,C1197,C1201,C1203,C1204,C1205,C1206,C1213,C1215,C1216,C1222,C1228,C1235,C1236,C1273,C1274,C1275,C1277,C1278,C1279,C1281,C1282,C1283,C1284,C1286,C1288,C1289,C1291,C1321,C1322,C1323,C1325,C1326,C1327,C1329,C1330,C1331,C1332,C1334,C1335,C1337,C1338,C1340,C1371,C1372,C1373,C1375,C1376,C1377,C1379,C1380,C1381,C1382,C1384,C1386,C1387,C1389,C1424,C1425,C1426,C1428,C1429,C1430,C1432,C1433,C1434,C1435,C1437,C1439,C1440,C1442,C1484,C1485,C1486,C1488,C1489,C1490,C1492,C1493,C1494,C1496,C1498,C1500,C1528,C1529,C1530,C1531,C1533,C1534,C1535,C1536,C1538,C1539,C1540,C1541,C1542,C1544,C1545,C1546,C1548,C1549,C1550,C1552,C1553,C1582,C1583,C1584,C1585,C1587,C1588,C1589,C1590,C1592,C1593,C1594,C1595,C1596,C1598,C1599,C1600,C1602,C1603,C1604,C1606,C1607,C1670,C1671,C1672,C1673,C1675,C1676,C1677,C1678,C1680,C1681,C1682,C1683,C1684,C1685,C1687,C1688,C1689,C1691,C1692,C1693,C1695,C1696,C1763,C1764,C1765,C1766,C1768,C1769,C1770,C1771,C1773,C1774,C1775,C1776,C1777,C1778,C1780,C1781,C1782,C1784,C1785,C1786,C1788,C1789,C1857,C1858,C1859,C1860,C1862,C1863,C1864,C1865,C1867,C1868,C1869,C1870,C1871,C1872,C1874,C1875,C1877,C1878,C1879,C1881,C1882,C1902,C1903,C1904,C1905,C1906,C1907,C1908,C1909,C1910,C1911,C1912,C1914,C1915,C1916,C1918,C1919,C1920,C1922,C1923,C1924,C1925",276
AGROPHOS,2026-09-08,23.44,24.82,47.6,24.0,-2.33,-50.76,-5.56,-8.44,"C273,C274,C275,C276,C318,C319,C320,C321,C363,C364,C365,C366,C414,C415,C416,C417,C463,C464,C465,C466,C507,C508,C509,C510,C548,C549,C550,C551,C587,C588,C589,C590,C637,C638,C639,C688,C689,C690,C691,C730,C731,C732,C733,C767,C768,C769,C770,C814,C815,C816,C817,C860,C861,C862,C863,C909,C910,C911,C912,C956,C957,C958,C959,C960,C1004,C1005,C1006,C1007,C1049,C1050,C1051,C1052,C1103,C1104,C1105,C1106,C1151,C1152,C1153,C1154,C1159,C1272,C1273,C1274,C1275,C1276,C1277,C1278,C1279,C1285,C1286,C1287,C1288,C1289,C1320,C1321,C1322,C1323,C1324,C1325,C1326,C1327,C1333,C1334,C1335,C1336,C1337,C1338,C1370,C1371,C1372,C1373,C1374,C1375,C1376,C1377,C1383,C1384,C1385,C1386,C1387,C1423,C1424,C1425,C1426,C1427,C1428,C1429,C1430,C1436,C1437,C1438,C1439,C1440,C1483,C1484,C1485,C1486,C1487,C1488,C1489,C1490,C1495,C1496,C1497,C1498,C1527,C1528,C1529,C1530,C1531,C1532,C1533,C1534,C1535,C1536,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1581,C1582,C1583,C1584,C1585,C1586,C1587,C1588,C1589,C1590,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1669,C1670,C1671,C1672,C1673,C1674,C1675,C1676,C1677,C1678,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1762,C1763,C1764,C1765,C1766,C1767,C1768,C1769,C1770,C1771,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1856,C1857,C1858,C1859,C1860,C1861,C1862,C1863,C1864,C1865,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1902,C1903,C1904,C1905,C1906,C1907,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920",249
HMAAGRO,2026-09-08,20.01,20.66,41.69,20.59,-2.82,-52.0,-3.15,-4.35,"C273,C274,C275,C276,C318,C319,C320,C321,C363,C364,C365,C366,C414,C415,C416,C417,C463,C464,C465,C466,C507,C508,C509,C510,C548,C549,C550,C551,C587,C588,C589,C590,C637,C638,C639,C688,C689,C690,C691,C730,C731,C732,C733,C767,C768,C769,C770,C814,C815,C816,C817,C860,C861,C862,C863,C909,C910,C911,C912,C956,C957,C958,C959,C960,C1004,C1005,C1006,C1007,C1049,C1050,C1051,C1052,C1103,C1104,C1105,C1106,C1151,C1152,C1153,C1154,C1159,C1272,C1273,C1274,C1275,C1276,C1277,C1278,C1279,C1285,C1286,C1287,C1288,C1289,C1320,C1321,C1322,C1323,C1324,C1325,C1326,C1327,C1333,C1334,C1335,C1336,C1337,C1338,C1370,C1371,C1372,C1373,C1374,C1375,C1376,C1377,C1383,C1384,C1385,C1386,C1387,C1423,C1424,C1425,C1426,C1427,C1428,C1429,C1430,C1436,C1437,C1438,C1439,C1440,C1483,C1484,C1485,C1486,C1487,C1488,C1489,C1490,C1495,C1496,C1497,C1498,C1527,C1528,C1529,C1530,C1531,C1532,C1533,C1534,C1535,C1536,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1581,C1582,C1583,C1584,C1585,C1586,C1587,C1588,C1589,C1590,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1669,C1670,C1671,C1672,C1673,C1674,C1675,C1676,C1677,C1678,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1762,C1763,C1764,C1765,C1766,C1767,C1768,C1769,C1770,C1771,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1856,C1857,C1858,C1859,C1860,C1861,C1862,C1863,C1864,C1865,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1902,C1903,C1904,C1905,C1906,C1907,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920",249
PFIZER,2026-09-08,4310.7,4596.5,5993.0,4557.0,-5.4,-28.07,-6.22,-7.61,"C374,C381,C390,C424,C429,C434,C436,C443,C556,C561,C596,C601,C606,C609,C616,C644,C648,C653,C657,C660,C665,C670,C1199,C1207,C1245,C1247,C1248,C1249,C1250,C1251,C1252,C1254,C1258,C1263,C1268,C1271,C1292,C1294,C1296,C1297,C1298,C1299,C1301,C1302,C1305,C1310,C1315,C1318,C1341,C1343,C1345,C1346,C1347,C1348,C1349,C1351,C1352,C1355,C1360,C1365,C1368,C1390,C1392,C1394,C1395,C1396,C1397,C1399,C1402,C1403,C1404,C1407,C1412,C1417,C1420,C1422,C1445,C1448,C1451,C1452,C1453,C1454,C1456,C1460,C1461,C1462,C1466,C1471,C1476,C1480,C1482,C1502,C1504,C1506,C1508,C1510,C1512,C1514,C1517,C1520,C1523,C1525,C1531,C1536,C1555,C1557,C1559,C1561,C1563,C1565,C1567,C1570,C1574,C1577,C1579,C1585,C1590,C1611,C1616,C1621,C1625,C1631,C1636,C1641,C1645,C1651,C1656,C1661,C1665,C1668,C1673,C1678,C1683,C1701,C1706,C1711,C1715,C1718,C1723,C1728,C1733,C1737,C1739,C1744,C1749,C1754,C1758,C1761,C1766,C1771,C1776,C1794,C1799,C1804,C1808,C1811,C1816,C1821,C1826,C1830,C1833,C1838,C1843,C1848,C1852,C1855,C1860,C1865,C1870,C1883,C1884,C1885,C1886,C1887,C1889,C1891,C1894,C1896,C1898,C1900,C1904,C1907,C1910",183
MTNL,2026-09-08,25.35,26.05,58.2,25.9,-2.12,-56.44,-2.69,-4.99,"C273,C274,C318,C319,C363,C364,C414,C415,C463,C464,C507,C508,C548,C549,C587,C588,C637,C688,C689,C730,C731,C767,C768,C814,C815,C860,C861,C909,C910,C956,C957,C958,C1004,C1005,C1049,C1050,C1103,C1104,C1151,C1159,C1272,C1273,C1274,C1275,C1285,C1286,C1320,C1321,C1322,C1323,C1333,C1334,C1335,C1370,C1371,C1372,C1373,C1383,C1384,C1423,C1424,C1425,C1426,C1436,C1437,C1483,C1484,C1485,C1486,C1495,C1496,C1527,C1528,C1529,C1530,C1531,C1543,C1544,C1545,C1546,C1581,C1582,C1583,C1584,C1585,C1597,C1598,C1599,C1600,C1669,C1670,C1671,C1672,C1673,C1686,C1687,C1688,C1689,C1762,C1763,C1764,C1765,C1766,C1779,C1780,C1781,C1782,C1856,C1857,C1858,C1859,C1860,C1873,C1874,C1875,C1902,C1903,C1904,C1913,C1914,C1915,C1916",122
GLFL,2026-09-08,5.35,5.63,8.09,5.53,-3.25,-33.87,-4.97,-9.78,"C1257,C1258,C1262,C1263,C1267,C1268,C1270,C1271,C1275,C1279,C1304,C1305,C1309,C1310,C1314,C1315,C1317,C1318,C1319,C1323,C1327,C1354,C1355,C1359,C1360,C1364,C1365,C1367,C1368,C1369,C1373,C1377,C1406,C1407,C1411,C1412,C1416,C1417,C1419,C1420,C1421,C1422,C1426,C1430,C1465,C1466,C1470,C1471,C1475,C1476,C1479,C1480,C1481,C1482,C1486,C1490,C1530,C1531,C1535,C1536,C1540,C1546,C1550,C1584,C1585,C1589,C1590,C1594,C1600,C1604,C1672,C1673,C1677,C1678,C1682,C1683,C1689,C1693,C1765,C1766,C1770,C1771,C1775,C1776,C1782,C1786,C1859,C1860,C1864,C1865,C1869,C1870,C1879,C1903,C1904,C1906,C1907,C1909,C1910,C1912,C1916,C1920,C1924",103
LUXIND,2026-09-08,1128.4,1159.4,2146.0,1150.5,-1.92,-47.42,-2.67,-5.4,"C1285,C1286,C1287,C1288,C1289,C1290,C1291,C1333,C1334,C1335,C1336,C1337,C1338,C1339,C1340,C1383,C1384,C1385,C1386,C1387,C1388,C1389,C1436,C1437,C1438,C1439,C1440,C1441,C1442,C1495,C1496,C1497,C1498,C1499,C1500,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1551,C1552,C1553,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1605,C1606,C1607,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1694,C1695,C1696,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1787,C1788,C1789,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1880,C1881,C1882,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920,C1921,C1922,C1923,C1924",101
PNCINFRA,2026-09-08,177.06,181.71,338.8,179.5,-1.36,-47.74,-2.56,-6.2,"C1285,C1286,C1287,C1288,C1289,C1290,C1291,C1333,C1334,C1335,C1336,C1337,C1338,C1339,C1340,C1383,C1384,C1385,C1386,C1387,C1388,C1389,C1436,C1437,C1438,C1439,C1440,C1441,C1442,C1495,C1496,C1497,C1498,C1499,C1500,C1543,C1544,C1545,C1546,C1547,C1548,C1549,C1550,C1551,C1552,C1553,C1597,C1598,C1599,C1600,C1601,C1602,C1603,C1604,C1605,C1606,C1607,C1686,C1687,C1688,C1689,C1690,C1691,C1692,C1693,C1694,C1695,C1696,C1779,C1780,C1781,C1782,C1783,C1784,C1785,C1786,C1787,C1788,C1789,C1873,C1874,C1875,C1876,C1877,C1878,C1879,C1880,C1881,C1882,C1913,C1914,C1915,C1916,C1917,C1918,C1919,C1920,C1921,C1922,C1923,C1924",101
